source,lon,has_run_out,division,booth_info,premises,opening_hours,polling_place_type,has_bbq,has_other,lat,state,polling_place_name,has_nothing,has_caek,address,extra_info,stall_name,stall_description,stall_website,first_report,latest_report
,115.7897527,,Canning,Assisted access,South Yunderup-Ravenswood Volunteer Bush Fire Brigade Station,8 - 6pm,,FALSE,,-32.5825085,WA,South Yunderup-Ravenswood Volunteer Bush Fire Brigade Station,FALSE,FALSE,"South Yunderup-Ravenswood Volunteer Bush Fire Brigade Station, Yunderup Rd, SOUTH YUNDERUP, Western Australia",,,,,,
,115.9259579,,Canning,Assisted access,Waroona Senior Citizens' Centre,8 - 6pm,,FALSE,,-32.8442328,WA,Waroona Senior Citizens' Centre,FALSE,FALSE,"Waroona Senior Citizens' Centre, Millar St, WAROONA, Western Australia",,,,,,
,116.0627296,,Canning,Assisted access,Bruno Gianatti Recreation Centre,8 - 6pm,,FALSE,,-32.338023,WA,Bruno Gianatti Recreation Centre,FALSE,FALSE,"Bruno Gianatti Recreation Centre, Munro St, JARRAHDALE, Western Australia",,,,,,
,116.1164035,,Canning,Assisted access,Karragullen District Hall,8 - 6pm,,FALSE,,-32.0859301,WA,Karragullen District Hall,FALSE,FALSE,"Karragullen District Hall, Old Station Rd, KARRAGULLEN, Western Australia",,,,,,
,115.6911196,,Canning,Assisted access,Lake Clifton Community Hall,8 - 6pm,,FALSE,,-32.8072722,WA,Lake Clifton Community Hall,FALSE,FALSE,"Lake Clifton Community Hall, Tuart Grove Ave, LAKE CLIFTON, Western Australia",,,,,,
08:38:00,116.0222457,FALSE,Canning,No,Clifton Hills Primary School,8 - 6pm,,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-32.1031648,WA,Clifton Hills Primary School,TRUE,FALSE,"Clifton Hills Primary School, Connell Ave, KELMSCOTT, Western Australia",,,,,,
08:45:00,116.020648,FALSE,Canning,No,Kelmscott Primary School,8 - 6pm,,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-32.119272,WA,Kelmscott Primary School,TRUE,FALSE,"Kelmscott Primary School, River Rd, KELMSCOTT, Western Australia",,,,,,
,115.7042925,FALSE,Canning,Assisted access,Glencoe Primary School,8 - 6pm,,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-32.5444692,WA,Glencoe Primary School,TRUE,FALSE,"Glencoe Primary School, Balmoral Pde, HALLS HEAD, Western Australia",,,,,,
12:55:00,115.6963069,FALSE,Canning,Assisted access,Halls Head Primary School,8 - 6pm,,TRUE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-32.5508779,WA,Halls Head Primary School,FALSE,TRUE,"Halls Head Primary School, 21 Oleander Pl, HALLS HEAD, Western Australia",,,,,,
,115.6937789,FALSE,Canning,Assisted access,Metro Church,8 - 6pm,,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-32.5397453,WA,Metro Church,TRUE,FALSE,"Metro Church, McLarty Rd, HALLS HEAD, Western Australia",,,,,,
,115.9355932,FALSE,Canning,Assisted access,Carey Baptist College,8 - 6pm,,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-32.111182,WA,Carey Baptist College,TRUE,FALSE,"Carey Baptist College, 51 Wright Rd, HARRISDALE, Western Australia",,,,,,
09:29:00,115.998652,FALSE,Canning,No,Grovelands Primary School,8 - 6pm,,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-32.120056,WA,Grovelands Primary School,TRUE,FALSE,"Grovelands Primary School, Grovelands Dr, WESTFIELD, Western Australia",,,,,,
,116.0049521,FALSE,Canning,Assisted access,Westfield Park Primary School,8 - 6pm,,TRUE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":true,""other"":""""}",-32.11058,WA,Westfield Park Primary School,FALSE,FALSE,"Westfield Park Primary School, Hemingway Dr, WESTFIELD, Western Australia",,,,,,
08:53:00,116.010622,FALSE,Canning,Assisted access,Kelmscott Senior High School,8 - 6pm,,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-32.121253,WA,Kelmscott Senior High School,TRUE,FALSE,"Kelmscott Senior High School, Third Ave, KELMSCOTT, Western Australia",,,,,,
,116.084596,,Canning,No,Roleystone Community College,8 - 6pm,,FALSE,,-32.103329,WA,Roleystone Community College,FALSE,FALSE,"Roleystone Community College, 90 Raeburn Rd, ROLEYSTONE, Western Australia",,,,,,
,115.9814698,,Canning,Assisted access,Serpentine Primary School,8 - 6pm,,TRUE,,-32.3655334,WA,Serpentine Primary School,FALSE,TRUE,"Serpentine Primary School, Lefroy St, SERPENTINE, Western Australia",,,,,,
10:01:00,115.9908638,FALSE,Canning,Assisted access,Cecil Andrews Senior High School,8 - 6pm,,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-32.1463737,WA,Cecil Andrews Senior High School,TRUE,FALSE,"Cecil Andrews Senior High School, Seville Dr, ARMADALE, Western Australia",,,,,,
,116.0132668,,Canning,Full access,Greendale Centre,8 - 6pm,,FALSE,,-32.1584643,WA,Greendale Centre,FALSE,FALSE,"Greendale Centre, Coombe Ave, ARMADALE, Western Australia",,,,,,
09:52:00,116.0003799,FALSE,Canning,Assisted access,Challis Primary School,8 - 6pm,,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-32.139504,WA,Challis Primary School,TRUE,FALSE,"Challis Primary School, 40 Braemore St, ARMADALE, Western Australia",,,,,,
10:01:00,115.9996409,FALSE,Canning,Assisted access,Neerigen Brook Primary School,8 - 6pm,,TRUE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-32.1515636,WA,Neerigen Brook Primary School,FALSE,TRUE,"Neerigen Brook Primary School, Seventh Rd, ARMADALE, Western Australia",,,,,,
,116.0589993,,Canning,Assisted access,Bedfordale District Hall,8 - 6pm,,FALSE,,-32.1909994,WA,Bedfordale District Hall,FALSE,FALSE,"Bedfordale District Hall, Admiral Rd, BEDFORDALE, Western Australia",,,,,,
09:43:00,116.0158074,FALSE,Canning,Assisted access,Kingsley Primary School,8 - 6pm,,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-32.1344749,WA,Kingsley Primary School,TRUE,FALSE,"Kingsley Primary School, Lathwell St, ARMADALE, Western Australia",,,,,,
,116.0263109,FALSE,Canning,Assisted access,Armadale Primary School,8 - 6pm,,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-32.1475274,WA,Armadale Primary School,TRUE,FALSE,"Armadale Primary School, 1 Carradine Rd, BEDFORDALE, Western Australia",,,,,,
,116.0045623,,Canning,Assisted access,Evelyn Gribble Community Centre,8 - 6pm,,FALSE,,-32.1737127,WA,Evelyn Gribble Community Centre,FALSE,FALSE,"Evelyn Gribble Community Centre, Ninth Rd, BROOKDALE, Western Australia",,,,,,
,116.467214,,Canning,Assisted access,Boddington District High School,8 - 6pm,,FALSE,,-32.801617,WA,Boddington District High School,FALSE,FALSE,"Boddington District High School, 25 Pollard St, BODDINGTON, Western Australia",,,,,,
,115.6550461,,Canning,No,Preston Beach Community Centre,8 - 6pm,,FALSE,,-32.8747573,WA,Preston Beach Community Centre,FALSE,FALSE,"Preston Beach Community Centre, Panorama Dr, PRESTON BEACH, Western Australia",,,,,,
,115.8723037,FALSE,Canning,Assisted access,Pinjarra Senior High School,8 - 6pm,,TRUE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-32.6329929,WA,Pinjarra Senior High School,FALSE,FALSE,"Pinjarra Senior High School, McLarty Rd, PINJARRA, Western Australia",,,,,,
,116.0004974,FALSE,Canning,Assisted access,Serpentine Jarrahdale Community Recreation Centre,8 - 6pm,,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-32.2254954,WA,Serpentine Jarrahdale Community Recreation Centre,TRUE,FALSE,"Serpentine Jarrahdale Community Recreation Centre, Mead St, BYFORD, Western Australia",,,,,,
,116.0115469,FALSE,Canning,Assisted access,Byford Hall,8 - 6pm,,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-32.2203552,WA,Byford Hall,TRUE,FALSE,"Byford Hall, 850 South Western Hwy near Clifton St, BYFORD, Western Australia",,,,,,
,115.8757139,,Canning,No,Coolup Community Hall,8 - 6pm,,FALSE,,-32.739754,WA,Coolup Community Hall,FALSE,FALSE,"Coolup Community Hall, 186 Murray St, COOLUP, Western Australia",,,,,,
,115.748794,FALSE,Canning,Assisted access,Coodanup Community College,8 - 6pm,,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-32.5500895,WA,Coodanup Community College,TRUE,FALSE,"Coodanup Community College, Wanjeep St, COODANUP, Western Australia",,,,,,
,115.735363,FALSE,Canning,Assisted access,Dudley Park Primary School,8 - 6pm,,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-32.541206,WA,Dudley Park Primary School,TRUE,FALSE,"Dudley Park Primary School, Gillark St, DUDLEY PARK, Western Australia",,,,,,
,115.6466279,,Canning,No,Southern Estuary Progress Assn Hall,8 - 6pm,,FALSE,,-32.6334076,WA,Southern Estuary Progress Assn Hall,FALSE,FALSE,"Southern Estuary Progress Assn Hall, Estuary Rd, DAWESVILLE, Western Australia",,,,,,
,115.6599083,,Canning,Assisted access,Falcon Community Pavilion,8 - 6pm,,FALSE,,-32.5797599,WA,Falcon Community Pavilion,FALSE,FALSE,"Falcon Community Pavilion, Lynda St, FALCON, Western Australia",,,,,,
,116.063537,,Canning,Assisted access,Dwellingup Primary School,8 - 6pm,,FALSE,,-32.71545,WA,Dwellingup Primary School,FALSE,FALSE,"Dwellingup Primary School, 10 Newton St, DWELLINGUP, Western Australia",,,,,,
,115.7709761,,Canning,Assisted access,West Murray Community Hall,8 - 6pm,,FALSE,,-32.5529585,WA,West Murray Community Hall,FALSE,FALSE,"West Murray Community Hall, Cnr Pinjarra and Goodooga Rds, FURNISSDALE, Western Australia",,,,,,
,115.948538,,Canning,No,Forrestdale Primary School,8 - 6pm,,FALSE,,-32.153622,WA,Forrestdale Primary School,FALSE,FALSE,"Forrestdale Primary School, 35 Broome St, FORRESTDALE, Western Australia",,,,,,
,115.7265407,FALSE,Canning,Assisted access,Mandurah Primary School,8 - 6pm,,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-32.529409,WA,Mandurah Primary School,TRUE,FALSE,"Mandurah Primary School, Hackett St, MANDURAH, Western Australia",,,,,,
,115.7366373,FALSE,Canning,Assisted access,John Tonkin College - Tindale Campus,8 - 6pm,,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-32.5179334,WA,John Tonkin College - Tindale Campus,TRUE,FALSE,"John Tonkin College - Tindale Campus, Gibla Street, MANDURAH, Western Australia",,,,,,
,115.893277,FALSE,Canning,No,Carcoola Primary School,8 - 6pm,,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-32.6054264,WA,Carcoola Primary School,TRUE,FALSE,"Carcoola Primary School, Wisteria Cres, PINJARRA, Western Australia",,,,,,
,115.9131548,,Canning,Assisted access,Oakford Community Hall,8 - 6pm,,FALSE,,-32.1894767,WA,Oakford Community Hall,FALSE,FALSE,"Oakford Community Hall, Foxton Dr, OAKFORD, Western Australia",,,,,,
,115.788382,,Canning,No,North Yunderup CWA Centre,8 - 6pm,,FALSE,,-32.57992,WA,North Yunderup CWA Centre,FALSE,FALSE,"North Yunderup CWA Centre, 45 Culeenup Rd, NORTH YUNDERUP, Western Australia",,,,,,
11:28:00,115.9716086,FALSE,Canning,Assisted access,North Dandalup Community Hall,8 - 6pm,,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-32.5186938,WA,North Dandalup Community Hall,TRUE,FALSE,"North Dandalup Community Hall, South West Hwy, NORTH DANDALUP, Western Australia",,,,,,
,115.9818292,,Canning,Assisted access,Mundijong Primary School,8 - 6pm,,FALSE,,-32.2887652,WA,Mundijong Primary School,FALSE,FALSE,"Mundijong Primary School, Livesey St, MUNDIJONG, Western Australia",,,,,,
,115.7395259,FALSE,Canning,No,Peel Thunder Football Club,8 - 6pm,,TRUE,"{""coffee"":true,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-32.5317053,WA,Peel Thunder Football Club,FALSE,FALSE,"Peel Thunder Football Club, Bendigo Bank Stadium Dower St, MANDURAH, Western Australia",,,,,,