wheelchairaccess,polling_place_name,address,premises,entrancesdesc,lat,lon,state
Assisted wheelchair access,Adelaide,"214 Wakefield St, ADELAIDE, 5000",Christian Brothers College - Senior,,-34.92788,138.60935,SA
Full wheelchair access,Adelaide Hospital,"Port Rd, ADELAIDE, 5000",Royal Adelaide Hospital,Main Entrance - Volunteer Area (3A),-34.920734,138.58736,SA
Full wheelchair access,Adelaide South,"91 Gilles St, ADELAIDE, 5000",Gilles St Primary School,,-34.934369,138.604511,SA
Full wheelchair access,Adelaide West,"West Tce, ADELAIDE, 5000",Adelaide High School,,-34.925624,138.587085,SA
Assisted wheelchair access,North Adelaide,"62-80 Tynte St, NORTH ADELAIDE, 5006",North Adelaide Primary School,,-34.905119,138.597561,SA
Full wheelchair access,North Adelaide East,"70 Melbourne St, NORTH ADELAIDE, 5006",St Cyprian's Anglican Church,,-34.906083,138.608547,SA
Full wheelchair access,Prospect,"27 Gladstone Rd, PROSPECT, 5082",Prospect Primary School,via Olive St & Braund Rd,-34.8852,138.59,SA
Assisted wheelchair access,Prospect North,"30 Stuart Rd, PROSPECT, 5082",Prospect North Primary School,Gymnasium via Arthur St,-34.875259,138.597102,SA
Assisted wheelchair access,Walkerville,"159 Stephen Tce, WALKERVILLE, 5081",Walkerville Primary School,,-34.8953,138.613,SA
Full wheelchair access,Walkerville North,"92 North East Rd, WALKERVILLE, 5081",St Monica's Parish School,,-34.8876,138.616,SA
Full wheelchair access,Black Forest East,"72-74 East Ave, BLACK FOREST, 5035",Clarence Park Community Centre,via Canterbury Tce,-34.960802,138.580696,SA
Full wheelchair access,Clarence Gardens,"835 South Rd, CLARENCE GARDENS, 5039",St Francis Church Community Centre,,-34.970124,138.573552,SA
Full wheelchair access,Clarence Park,"318 Goodwood Rd, CLARENCE PARK, 5034",Church of the Trinity,,-34.9643,138.59,SA
Assisted wheelchair access,Goodwood,"140 Goodwood Rd, GOODWOOD, 5034",Goodwood Primary School,,-34.9515,138.589,SA
Full wheelchair access,Prospect South,"26 Highbury St, PROSPECT, 5082",Blackfriars Priory Early Learning Centre Gymnasium,,-34.8948,138.596,SA
Full wheelchair access,Black Forest,"679 South Rd, BLACK FOREST, 5035",Black Forest Primary School,via School Ave,-34.9607,138.573,SA
Full wheelchair access,Allenby Gardens,"33 Barham St, ALLENBY GARDENS, 5009",Allenby Gardens Primary School,,-34.901685,138.554784,SA
Full wheelchair access,Andrews Farm,"42 President Ave, ANDREWS FARM, 5114",St Columba College,,-34.672219,138.666405,SA
Full wheelchair access,Angle Vale,"Heaslip Rd, ANGLE VALE, 5117",Angle Vale Primary School,,-34.64345,138.64697,SA
Full wheelchair access,Keswick,"41 Surrey Rd, KESWICK, 5035",National Servicemen's Association,,-34.945611,138.572767,SA
Assisted wheelchair access,Novar Gardens,"24 Morphett Rd, NOVAR GARDENS, 5040",Immanuel Primary School,,-34.9727,138.537,SA
No wheelchair access,Plympton,"19 Owen St, PLYMPTON, 5038",Plympton Primary School,via Keily St,-34.960849,138.55683,SA
Assisted wheelchair access,Plympton Park,"464 Marion Rd, PLYMPTON PARK, 5038",Plympton RSL Hall,,-34.9703,138.555,SA
Assisted wheelchair access,Plympton West,"21A Errington St, PLYMPTON, 5038",Plympton International College,,-34.96232,138.54768,SA
Full wheelchair access,South Plympton North,"13 Yapinga St, SOUTH PLYMPTON, 5038",Plympton South Kindergarten,,-34.97005,138.560659,SA
Full wheelchair access,Burnside,"11 High St, BURNSIDE, 5066",Burnside Primary School,,-34.936155,138.660955,SA
Assisted wheelchair access,Crafers,"55 Piccadilly Rd, CRAFERS, 5152",Crafers Primary School,,-34.99365,138.71278,SA
Assisted wheelchair access,Glen Osmond,"2 Pridmore Rd, GLEN OSMOND, 5064",St Saviour's Church Hall,,-34.962859,138.644805,SA
Assisted wheelchair access,Kensington Park,"346 The Parade, KENSINGTON PARK, 5068",Kensington Park RSL,,-34.9206,138.651,SA
Full wheelchair access,Linden Park,"14 Hay Rd, LINDEN PARK, 5065",Linden Park Primary School,,-34.9475,138.647,SA
Full wheelchair access,Piccadilly,"171 Piccadilly Rd, PICCADILLY, 5151",Piccadilly Community Hall,,-34.9822,138.726,SA
Full wheelchair access,Rose Park,"54 Alexandra Ave, ROSE PARK, 5067",Rose Park Primary School,,-34.93144,138.62877,SA
No wheelchair access,Beaumont,"42 Cooper Pl, BEAUMONT, 5066",Beaumont Scout Hall,,-34.9449,138.658358,SA
Full wheelchair access,Angle Vale,"Heaslip Rd, ANGLE VALE, 5117",Angle Vale Primary School,,-34.64345,138.64697,SA
Assisted wheelchair access,Athelstone South,"71 Stradbroke Rd, ATHELSTONE, 5076",Thorndon Park Primary School,,-34.884361,138.692006,SA
Full wheelchair access,Bellevue Heights,"17-19 Vaucluse Cres, BELLEVUE HEIGHTS, 5050",Bellevue Heights Primary School,,-35.029343,138.588426,SA
Assisted wheelchair access,Brighton,"1 Highet Ave, BRIGHTON, 5048",Brighton Primary School,,-35.016048,138.523195,SA
Full wheelchair access,Burton,"49A Kensington Way, BURTON, 5110",Burton Primary School,via Brookfield Ave,-34.741597,138.596641,SA
Assisted wheelchair access,Clapham,"48 Barretts Rd, CLAPHAM, 5062",Clapham Primary School,,-34.993877,138.604224,SA
Assisted wheelchair access,Wattle Park,"2a Yeltana Ave, WATTLE PARK, 5066",Wattle Park Kindergarten,,-34.925245,138.675476,SA
Full wheelchair access,Summertown,"Cnr Greenhill & Bonython Rds, SUMMERTOWN, 5141",Summertown Uniting Church Hall,via Bonython Rd,-34.95898,138.72805,SA
Full wheelchair access,Tusmore,"384 Portrush Rd, TUSMORE, 5065",Burnside City Uniting Church,,-34.9375,138.643,SA
Full wheelchair access,Uraidla,"17 Kidney St, URAIDLA, 5142",Uraidla Primary School,,-34.959405,138.744127,SA
Full wheelchair access,Hallett Cove,"2-32 Gledsdale Rd, HALLETT COVE, 5158",Hallett Cove School,,-35.0771,138.511,SA
Full wheelchair access,Hallett Cove South,"Livonia St, HALLETT COVE, 5158",Hallett Cove South Primary School,via Shamrock Rd,-35.0833,138.504,SA
Full wheelchair access,Marino,"44 Newland Ave, MARINO, 5049",Marino Community Hall,,-35.0428,138.518,SA
Full wheelchair access,North Brighton,"21 Bowker St, NORTH BRIGHTON, 5048",Paringa Park Primary School,,-35.002579,138.525681,SA
Full wheelchair access,North Brighton West,"305 Brighton Rd, NORTH BRIGHTON, 5048",Brighton Secondary School,via King George Ave,-35.004206,138.520593,SA
Full wheelchair access,Seacliff,"7 Wheatland St, SEACLIFF, 5049",Seacliff Uniting Church Hall,,-35.031709,138.522985,SA
Assisted wheelchair access,Somerton Park,"91 Diagonal Rd, SOMERTON PARK, 5044",Stockland Retirement Village,,-34.994,138.527,SA
Assisted wheelchair access,South Brighton,"Dover Sq, SOUTH BRIGHTON, 5048",South Brighton Community Hall,,-35.025396,138.5281,SA
Assisted wheelchair access,Barmera,"1 James Ave, BARMERA, 5345",Barmera Recreation Centre,,-34.251933,140.453118,SA
Assisted wheelchair access,Berri,"25 Chilton Rd, BERRI, 5343",Berri Bowling Club (Glassey Park),,-34.284477,140.598412,SA
Full wheelchair access,Cobdogla,"2-12 Dolan St, COBDOGLA, 5346",Cobdogla Primary School,,-34.2424,140.406,SA
Full wheelchair access,Glossop,"535 Old Sturt Hwy, GLOSSOP, 5344",Glossop High School,,-34.2747,140.535,SA
Assisted wheelchair access,Karoonda,"North Tce, KAROONDA, 5307",Karoonda Area School,,-35.091901,139.8951,SA
Assisted wheelchair access,Lameroo,"1 Bews Tce, LAMEROO, 5302",Lameroo Regional Community School,School Community Library,-35.330302,140.521764,SA
Assisted wheelchair access,Brighton,"1 Highet Ave, BRIGHTON, 5048",Brighton Primary School,,-35.016048,138.523195,SA
Full wheelchair access,Hallett Cove East,"25-27 Quailo Ave, HALLETT COVE, 5158",Hallett Cove East Primary School,,-35.070877,138.517448,SA
Assisted wheelchair access,Loxton,"Bookpurnong Tce, LOXTON, 5333",Loxton Lutheran Peace Hall,,-34.453377,140.567876,SA
Assisted wheelchair access,Loxton North,"379 Balfour-Ogilvy Rd, LOXTON NORTH, 5333",Loxton North Primary School,,-34.4138,140.625,SA
Assisted wheelchair access,Lyrup,"Wilson Pde, LYRUP, 5343",Lyrup Community Hall,,-34.256819,140.647509,SA
Full wheelchair access,Monash,"Cnr Randell Tce & Madison Ave, MONASH, 5342",Monash Hall,,-34.237766,140.557973,SA
Full wheelchair access,Moorook,"Kingston Rd, MOOROOK, 5332",Moorook Community Hall,,-34.288879,140.367403,SA
Assisted wheelchair access,Nildottie,"4103 Hunter Rd, NILDOTTIE, 5238",Nildottie Lutheran Church Hall,,-34.6801,139.652,SA
Assisted wheelchair access,Paringa,"21 Hughes Ave, PARINGA, 5340",Paringa Murtho War Memorial Hall,,-34.180646,140.785933,SA
Assisted wheelchair access,Pinnaroo,"21 Bundey Tce, PINNAROO, 5304",Pinnaroo Primary School,School Community Library,-35.256413,140.907309,SA
Assisted wheelchair access,Purnong,"3214 Purnong Rd, PURNONG, 5238",Purnong District Hall,,-34.854079,139.623837,SA
Assisted wheelchair access,Ramco,"421 Ramco Rd, RAMCO, 5322",Ramco Community Hall,,-34.170607,139.937149,SA
Full wheelchair access,Renmark,"61 Eighteenth St, RENMARK, 5341",Renmark Council Chambers,,-34.174281,140.74294,SA
Full wheelchair access,Renmark North,"65 Warrego St, RENMARK NORTH, 5341",Renmark North Primary School,,-34.1261,140.712,SA
Full wheelchair access,Renmark West,"327 Tarcoola St, RENMARK WEST, 5341",Renmark West Primary School,,-34.166183,140.709867,SA
Full wheelchair access,Swan Reach,"8 Showground Rd, SWAN REACH, 5354",Swan Reach Area School,,-34.572124,139.602896,SA
Full wheelchair access,Waikerie,"4 Cates Avenue, WAIKERIE, 5330",Waikerie Lutheran Social Centre,,-34.180484,139.981042,SA
Full wheelchair access,Winkie,"41 Bullpit Rd, WINKIE, 5343",Croation Association Hall,,-34.313,140.526,SA
Assisted wheelchair access,Albert Park,"57 Osborne St, ALBERT PARK, 5014",Lutheran Church Albert Park,,-34.87703,138.52157,SA
Assisted wheelchair access,Cheltenham,"62 Stroud St North, CHELTENHAM, 5014",Cheltenham Community Centre,,-34.866135,138.52552,SA
Full wheelchair access,Findon,"93 Crittenden Rd, FINDON, 5023",Western Link Uniting Church,,-34.899071,138.537155,SA
Assisted wheelchair access,Findon West,"44 Drummond Ave, FINDON, 5023",Findon High School,,-34.8998,138.527,SA
Full wheelchair access,Pennington,"Butler Ave, PENNINGTON, 5013",Pennington School R-7,"via Torrens Cres, no access from Butler Ave",-34.857024,138.5327,SA
Full wheelchair access,Queenstown,"Spring St, QUEENSTOWN, 5014",Alberton Primary School,,-34.86304,138.51149,SA
Assisted wheelchair access,Rosewater,"33 Newcastle St, ROSEWATER, 5013",Mount Carmel College,,-34.85602,138.52197,SA
Full wheelchair access,Royal Park,"50 Tapleys Hill Rd, ROYAL PARK, 5014",United Church Royal Park,,-34.870739,138.512014,SA
Full wheelchair access,Royal Park South,"Cedar Ave, ROYAL PARK, 5014",Hendon Primary School,,-34.877997,138.511127,SA
Full wheelchair access,Woodville,"100 Woodville Rd, WOODVILLE, 5011",James A Nelson Hall (SCOSA),,-34.874193,138.542004,SA
Assisted wheelchair access,Woodville South,"15 Oval Ave, WOODVILLE SOUTH, 5011",Adelaide Miethke Kindergarten,,-34.884839,138.537473,SA
No wheelchair access,Woodville West,"Gawler St, WOODVILLE WEST, 5011","Guide Hall Woodville West, Smith Reserve",via Albany St,-34.890242,138.527019,SA
Full wheelchair access,Grange,"39C Jetty St, GRANGE, 5022",Grange Primary School,,-34.9025,138.49675,SA
Full wheelchair access,Henley Beach,"214 Military Rd, HENLEY BEACH, 5022",Henley Fulham Uniting Church,,-34.9179,138.495,SA
Full wheelchair access,Henley Beach South,"38 Hazel Tce, HENLEY BEACH SOUTH, 5022",Henley Beach Primary School,via Burford Road,-34.93,138.5,SA
Full wheelchair access,Kidman Park,"27 Valetta Rd, KIDMAN PARK, 5025",Office for Recreation and Sport,,-34.914807,138.529815,SA
Assisted wheelchair access,Lockleys,"456 Henley Beach Rd, LOCKLEYS, 5032",Christ the King Church,,-34.925937,138.52655,SA
Full wheelchair access,Fulham,"19 Fitch Rd, FULHAM, 5024",Fulham Community Centre,via Phelps Ct,-34.9306,138.514,SA
Full wheelchair access,Henley Beach North,"70-72 Marlborough St, HENLEY BEACH, 5022",Fulham Gardens Primary School,,-34.9131,138.504,SA
Full wheelchair access,Clarence Park,"318 Goodwood Rd, CLARENCE PARK, 5034",Church of the Trinity,,-34.9643,138.59,SA
Assisted wheelchair access,Crafers,"55 Piccadilly Rd, CRAFERS, 5152",Crafers Primary School,,-34.99365,138.71278,SA
Full wheelchair access,Elizabeth East,"15 Dolphin St, ELIZABETH EAST, 5112",Elizabeth East Primary School,,-34.725145,138.678405,SA
Assisted wheelchair access,Elizabeth Vale,"13-19 Rollison Rd, ELIZABETH VALE, 5112",Elizabeth Vale Primary School,via Clarke St,-34.7463,138.669,SA
Full wheelchair access,Seaton Park,"80 Balcombe Ave, SEATON, 5023",Seaton Park Primary School,,-34.895627,138.519992,SA
Full wheelchair access,Seaton West,"185 Frederick Rd, SEATON, 5023",Christian Family Centre,,-34.898056,138.505721,SA
Full wheelchair access,Allenby Gardens,"33 Barham St, ALLENBY GARDENS, 5009",Allenby Gardens Primary School,,-34.901685,138.554784,SA
Assisted wheelchair access,Beverley,"6 Jeanes St, BEVERLEY, 5009",Maltese Cultural Centre,,-34.892557,138.548489,SA
Full wheelchair access,Brompton,"19 Green St, BROMPTON, 5007",Bowden Brompton Community Centre,,-34.8979,138.576,SA
Full wheelchair access,Kilkenny North,"8 Humphries Tce, KILKENNY, 5009",Challa Gardens Primary School,,-34.877911,138.554273,SA
Assisted wheelchair access,Croydon,"4 William St, CROYDON, 5008",St Barnabas Anglican Church,,-34.895527,138.567045,SA
Assisted wheelchair access,Croydon Park,"60 Days Rd, CROYDON PARK, 5008",Church of the Nazarene,,-34.88015,138.56602,SA
Assisted wheelchair access,Flinders Park,"34 Franklin Ave, FLINDERS PARK, 5025",Flinders Park Church of Christ,via Drake Ave,-34.907884,138.547472,SA
Full wheelchair access,Kilkenny,"27A Wilpena Tce, KILKENNY, 5009",Kilkenny Community Hall,,-34.883864,138.550635,SA
No wheelchair access,Renown Park,"11 Napier St, RENOWN PARK, 5008",Brompton Primary School,,-34.893794,138.581477,SA
Full wheelchair access,West Croydon,"40 Rosetta St, WEST CROYDON, 5008",West Croydon United Church,,-34.889409,138.559029,SA
Full wheelchair access,West Hindmarsh,"56 Albemarle St, WEST HINDMARSH, 5007",St Joseph's School,,-34.9038,138.563,SA
Full wheelchair access,Woodville Gardens,"18 Ridley Gr, WOODVILLE GARDENS, 5012",Woodville Gardens School B-7,,-34.86398,138.55001,SA
Full wheelchair access,Bedford Park,"Womens Health Clinic Flinders Dr, BEDFORD PARK, 5042",Flinders Medical Centre,,-35.0217,138.568,SA
Full wheelchair access,Bellevue Heights,"17-19 Vaucluse Cres, BELLEVUE HEIGHTS, 5050",Bellevue Heights Primary School,,-35.029343,138.588426,SA
Full wheelchair access,Flagstaff Hill East,"15 Murrays Hill Rd, FLAGSTAFF HILL, 5159",Craigburn Primary School,,-35.0569,138.616,SA
Assisted wheelchair access,Glenelg,"19 High St, GLENELG, 5045",St Mary's Hall,,-34.981499,138.514908,SA
Full wheelchair access,Glynde,"15 Glynburn Rd, GLYNDE, 5070",Zion Lutheran Church,,-34.891123,138.656455,SA
Full wheelchair access,Golden Grove Central,"1 Adey Pl, GOLDEN GROVE, 5125",Golden Grove High School,Dame Roma Mitchell Centre,-34.79381,138.69623,SA
Assisted wheelchair access,Blackwood,"72 Coromandel Pde, BLACKWOOD, 5051",Blackwood Hills Baptist Church,via Garnet Ave,-35.0294,138.62,SA
Full wheelchair access,Blackwood Central,"367 Shepherds Hill Rd, BLACKWOOD, 5051",Blackwood Church of Christ Hall,Cnr Waite St,-35.0209,138.615,SA
Assisted wheelchair access,Coromandel Valley,"339 Main Rd, COROMANDEL VALLEY, 5051",Coromandel Valley Primary School,,-35.033158,138.62523,SA
Full wheelchair access,Eden Hills,"4 Seymour St, EDEN HILLS, 5050",Blackwood Primary School,,-35.025151,138.607004,SA
Full wheelchair access,Flagstaff Hill,"145 Black Rd, FLAGSTAFF HILL, 5159",Flagstaff Hill R-7 School,,-35.0493,138.588,SA
Full wheelchair access,Flagstaff Hill East,"15 Murrays Hill Rd, FLAGSTAFF HILL, 5159",Craigburn Primary School,,-35.0569,138.616,SA
Full wheelchair access,Hawthorndene,"28A Suffolk Rd, HAWTHORNDENE, 5051",Hawthorndene Primary School,,-35.0203,138.636,SA
Full wheelchair access,St Peters,"44a Fourth Ave, ST PETERS, 5069",Spicer Uniting Church,,-34.906927,138.623486,SA
Assisted wheelchair access,Kensington,"54 Dankel Ave, KENSINGTON, 5068",Marryatville Primary School,,-34.92491,138.6494,SA
Full wheelchair access,Kent Town,"27 Grenfell St, KENT TOWN, 5067",Wesley Uniting Church,via Fullarton Rd,-34.91925,138.62267,SA
Full wheelchair access,Marden,"1-37 Marden Rd, MARDEN, 5070",Marden Education Centre,,-34.89164,138.634664,SA
Full wheelchair access,Maylands,"17a Augusta St, MAYLANDS, 5069",New Life Christian Community Church,via Dover St,-34.91259,138.635907,SA
Full wheelchair access,Norwood,"53 George St, NORWOOD, 5067",Salvation Army,,-34.921807,138.636585,SA
Full wheelchair access,Norwood West,"37 Osmond Tce, NORWOOD, 5067",Norwood Primary School,,-34.918862,138.631653,SA
Full wheelchair access,St Morris,"40 Third Ave, ST MORRIS, 5068",Adelaide Korean Church Hall,via Gardiner Ave,-34.911364,138.655594,SA
Full wheelchair access,St Peters East,"57-59 Second Ave, ST PETERS, 5069",East Adelaide Primary School,,-34.905343,138.6277,SA
Full wheelchair access,Trinity Gardens,"160 Portrush Rd, TRINITY GARDENS, 5068",Trinity Gardens School,,-34.90884,138.64048,SA
Full wheelchair access,Joslin,"95 Fourth Ave, JOSLIN, 5069",College Park Scout Hall,,-34.90159,138.628389,SA
Assisted wheelchair access,Goodwood,"140 Goodwood Rd, GOODWOOD, 5034",Goodwood Primary School,,-34.9515,138.589,SA
Assisted wheelchair access,Vale Park,"40-56 Ascot Ave, VALE PARK, 5081",Vale Park Primary School,,-34.88542,138.62594,SA
Full wheelchair access,Ascot Park,"27A Charles St, ASCOT PARK, 5043",Active Elders Association,via Albert St,-34.990835,138.562874,SA
Full wheelchair access,Daw Park,"560 Goodwood Rd, DAW PARK, 5041",Colonel Light Gardens Uniting Church Hall,via Aver Ave playground entrance,-34.980878,138.591655,SA
Full wheelchair access,Edwardstown,"24 Towers Tce, EDWARDSTOWN, 5039",South Point Church of Christ,,-34.97453,138.56483,SA
Full wheelchair access,Marion,"2-22 Malcolm Ave, MARION, 5043",Marion Primary School,via Oakleigh Rd,-35.0042,138.556,SA
Full wheelchair access,Marion South,"9-11 Township Rd, MARION, 5043",Marion Uniting Church,,-35.010999,138.555484,SA
Assisted wheelchair access,Melrose Park,"125 Edward St, MELROSE PARK, 5039",Edwardstown Primary School,via Maria St,-34.978459,138.579122,SA
Assisted wheelchair access,Mitchell Park,"Gate 3 / 815 Marion Rd, MITCHELL PARK, 5043",Hamilton Secondary College,Access only via Gate 3,-34.9979,138.558,SA
Full wheelchair access,Mitchell Park South,"21 McInerney Ave, MITCHELL PARK, 5043",Suneden Special School,,-35.014832,138.561411,SA
Assisted wheelchair access,Park Holme,"80 Hendrie St, PARK HOLME, 5043",Springpark Baptist Church,via Condada Ave,-34.989145,138.547506,SA
Assisted wheelchair access,Park Holme South,"1-37 Pildappa Ave, PARK HOLME, 5043",Ascot Park Primary School,Gymnasium,-34.9905,138.556,SA
Full wheelchair access,South Plympton,"80 Thomas St, SOUTH PLYMPTON, 5038",Forbes Primary School,,-34.9781,138.558,SA
Full wheelchair access,Warradale,"2-16 Keynes Ave, WARRADALE, 5046",Warradale Primary School,,-35.00332,138.53745,SA
Full wheelchair access,Blair Athol North,"5 Marmion Ave, BLAIR ATHOL, 5084",Blair Athol North School B-7,,-34.853055,138.599478,SA
Full wheelchair access,Broadview,"61 Galway Ave, BROADVIEW, 5083",Broadview Uniting Church,via Collingrove Ave,-34.880086,138.614978,SA
Assisted wheelchair access,Clearview,"59 Fairview Tce, CLEARVIEW, 5085",The Good Shepherd Community Centre,,-34.8529,138.61,SA
Assisted wheelchair access,Blair Athol,"44 Audrey Ave, BLAIR ATHOL, 5084",St Paul Lutheran Church Hall,,-34.861592,138.599201,SA
Full wheelchair access,Hampstead Gardens,"28 Gambia Ave, HAMPSTEAD GARDENS, 5086",Church of Christ Hampstead Gardens,,-34.873251,138.625872,SA
Assisted wheelchair access,Hackham,"72 Collins Pde, HACKHAM, 5163",Hackham East Primary School,,-35.1394,138.534,SA
Assisted wheelchair access,Enfield,"Clarice Ave, ENFIELD, 5085",Enfield Primary School,via Harewood Ave,-34.865503,138.602545,SA
Assisted wheelchair access,Kilburn,"43-45 Le Hunte St, KILBURN, 5084",St Brigid's Parish Hall,,-34.862254,138.588167,SA
Full wheelchair access,Mansfield Park,"33A Dudley St, MANSFIELD PARK, 5012",St Patricks School,,-34.8544,138.551,SA
Assisted wheelchair access,Nailsworth,"2 Balfour St, NAILSWORTH, 5083",Nailsworth Primary School,,-34.8825,138.604,SA
Assisted wheelchair access,American River,"Ryberg Rd, AMERICAN RIVER, 5221",American River Community Hall,,-35.7864,137.772,SA
Assisted wheelchair access,Cape Jervis,"17 Ransford St, CAPE JERVIS, 5204",Cape Jervis Community Recreation & Sporting Club,,-35.6044,138.108,SA
Full wheelchair access,Kingscote,"5 Centenary Ave, KINGSCOTE, 5223",Kingscote Area School,,-35.6512,137.633,SA
Full wheelchair access,Middleton,"1 Walker Pl, MIDDLETON, 5213",Middleton Pioneer Hall,,-35.5082,138.706,SA
Assisted wheelchair access,Mount Compass,"School Rd, MOUNT COMPASS, 5210",Mount Compass Area School Trade Training Centre,,-35.3506,138.621,SA
Assisted wheelchair access,Myponga,"Hutchinson St, MYPONGA, 5202",Myponga Primary School,The Shed via Oval Rd Carpark,-35.3932,138.465,SA
Assisted wheelchair access,Enfield South,"496 Regency Rd, ENFIELD, 5085",Our Lady of the Sacred Heart College,,-34.8731,138.604,SA
Full wheelchair access,Regency Park,"171 Days Rd, REGENCY PARK, 5010",Novita Children's Services,,-34.869967,138.566169,SA
Assisted wheelchair access,Hackham West,"50 Glynville Dr, HACKHAM WEST, 5163",Hackham West R-7 School,,-35.143426,138.516767,SA
Full wheelchair access,Happy Valley,"18 Education Rd, HAPPY VALLEY, 5159",Happy Valley Primary School,,-35.0868,138.584,SA
Full wheelchair access,Happy Valley West,"1A Montana Dr, HAPPY VALLEY, 5159",Braeview Primary School,,-35.0803,138.554,SA
Full wheelchair access,Happy Valley West,"1A Montana Dr, HAPPY VALLEY, 5159",Braeview Primary School,,-35.0803,138.554,SA
Assisted wheelchair access,Parawa,"1541 Range Rd, PARAWA, 5203",Parawa Recreation Centre,,-35.56163,138.354682,SA
Assisted wheelchair access,Parndana,"8B Jubilee Ave, PARNDANA, 5220",Parndana Community Centre,,-35.788012,137.260781,SA
Full wheelchair access,Penneshaw,"Howard Dr, PENNESHAW, 5222",Kangaroo Island Community Education (Penneshaw Campus),,-35.720175,137.931801,SA
Full wheelchair access,Port Elliot,"4 Cameron St, PORT ELLIOT, 5212",Port Elliot Primary School,,-35.523793,138.677173,SA
Assisted wheelchair access,Second Valley,"Cnr Main South Rd & Finniss Vale Dr, SECOND VALLEY, 5204",Second Valley Soldiers Memorial Institute,,-35.527805,138.227548,SA
