wheelchairaccess,polling_place_name,address,premises,entrancesdesc,lat,lon,state
No wheelchair access,Sellicks Beach,"Riviera Dr, SELLICKS BEACH, 5174",Sellicks Beach Community Hall,,-35.324679,138.455381,SA
Full wheelchair access,Victor Harbor,"12 Coral St, VICTOR HARBOR, 5211",Victor Harbor Town Hall,,-35.554009,138.622179,SA
Full wheelchair access,Victor Harbor East,"64 Adelaide Rd, VICTOR HARBOR, 5211",Encounter Lutheran College - Kondole Centre,,-35.5278,138.637,SA
Full wheelchair access,Victor Harbor South,"5 George Main Rd, VICTOR HARBOR, 5211",Victor Harbor Recreation Centre,,-35.556144,138.611197,SA
Assisted wheelchair access,Yankalilla,"207 Main Rd, YANKALILLA, 5203",Yankalilla Area School Jubilee Hall,,-35.4534,138.334,SA
Full wheelchair access,Aberfoyle Park,"36A Taylors Rd East, ABERFOYLE PARK, 5159",Aberfoyle Park High School,,-35.0742,138.594,SA
Full wheelchair access,Aberfoyle Park Central,"2 Campus Dr, ABERFOYLE PARK, 5159",Aberfoyle Park Primary School Campus,Drama Hall via London Rd,-35.067016,138.595504,SA
Full wheelchair access,Aberfoyle Park North,"70 Manning Rd, ABERFOYLE PARK, 5159",Aberfoyle Park Baptist Church Hall,via Lyn St,-35.059308,138.599371,SA
Full wheelchair access,Aberfoyle Park South,"29 Jeanette Cres, ABERFOYLE PARK, 5159",Aberfoyle Hub Primary School,,-35.078519,138.594674,SA
Full wheelchair access,Cherry Gardens,"312 Cherry Gardens Rd, CHERRY GARDENS, 5157",Cherry Gardens Memorial Hall,,-35.0635,138.65358,SA
Assisted wheelchair access,Clarendon,"Potter Rd, CLARENDON, 5157",Clarendon Primary School,,-35.110292,138.632097,SA
Full wheelchair access,Happy Valley,"18 Education Rd, HAPPY VALLEY, 5159",Happy Valley Primary School,,-35.0868,138.584,SA
Full wheelchair access,Happy Valley West,"1A Montana Dr, HAPPY VALLEY, 5159",Braeview Primary School,,-35.0803,138.554,SA
Full wheelchair access,Reynella East,"63 Malbeck Dr, REYNELLA EAST, 5161",Reynella East College,"Gates 3,4 and 5 from Malbeck Dr",-35.09086,138.55491,SA
Full wheelchair access,Arno Bay,"21-23 Tel El Kebir Tce, ARNO BAY, 5603",Arno Bay Memorial Hall,,-33.911085,136.56762,SA
Full wheelchair access,Ceduna,"South Tce, CEDUNA, 5690",Ceduna and Districts Bowling Club,,-32.127414,133.674097,SA
Full wheelchair access,Cleve,"Second St, CLEVE, 5640",Cleve Area School,,-33.70005,136.497093,SA
Full wheelchair access,Coffin Bay,"The Esplanade, COFFIN BAY, 5607",Coffin Bay Community Hall,,-34.6218,135.465981,SA
Full wheelchair access,Cowell,"8 Main St, COWELL, 5602",Franklin Harbour Institute,,-33.684279,136.926256,SA
Full wheelchair access,Cummins,"McFarlane St, CUMMINS, 5631",Cummins Area School,,-34.263971,135.722475,SA
Assisted wheelchair access,Darke Peak,"Cnr Carrapee Hill & Balumbah-Kinnard Rds, DARKE PEAK, 5642",Darke Peak Sporting Complex,,-33.4646,136.199,SA
Full wheelchair access,Elliston,"Flinders Hwy, ELLISTON, 5670",Elliston Area School,,-33.644499,134.891352,SA
Full wheelchair access,Karkoo,"7 Archie Griffiths Rd, KARKOO, 5607",Karkoo Kooplex,,-34.03186,135.73046,SA
Full wheelchair access,Kirton Point,"47 Matthew Pl, PORT LINCOLN, 5606",Kirton Point Primary School,,-34.7318,135.869,SA
Full wheelchair access,Lock,"West Tce, LOCK, 5633",Lock Area School,,-33.568293,135.753898,SA
Assisted wheelchair access,Minnipa,"24 Thomas St, MINNIPA, 5654",Minnipa Memorial Hall,,-32.853957,135.154872,SA
Assisted wheelchair access,North Shields,"25 Dorward St, NORTH SHIELDS, 5607",North Shields Community Hall,,-34.6262,135.866,SA
Assisted wheelchair access,Poochera,"27 Main St, POOCHERA, 5655",Poochera Community District Hall,,-32.721047,134.839111,SA
Full wheelchair access,Port Kenny,"Flinders Hwy, PORT KENNY, 5671",Port Kenny & District Sports Centre,,-33.167267,134.684721,SA
Full wheelchair access,Port Lincoln Central,"23 Flinders Hwy, PORT LINCOLN, 5606",Port Lincoln Lutheran Church Hall,,-34.718372,135.847724,SA
Full wheelchair access,Port Lincoln South,"14 Barley Rd, PORT LINCOLN, 5606",Lincoln Gardens Primary School,,-34.741381,135.846549,SA
Full wheelchair access,Port Neill,"41 Wallis St, PORT NEILL, 5604",Port Neill War Memorial Hall,,-34.119326,136.349057,SA
Assisted wheelchair access,Smoky Bay,"1 Tremaine St, SMOKY BAY, 5680",Smoky Bay CFS Station,,-32.374065,133.935455,SA
Full wheelchair access,Streaky Bay,"21 Bay Rd, STREAKY BAY, 5680",Streaky Bay RSL,,-32.79889,134.210683,SA
Full wheelchair access,Tumby Bay,"11 Tumby Tce, TUMBY BAY, 5605",Tumby Bay Senior Citizens Clubrooms,,-34.377343,136.102971,SA
Full wheelchair access,Ungarra,"Ashman Tce, UNGARRA, 5607",Ungarra Primary School,,-34.180707,136.047025,SA
Full wheelchair access,Wangary,"Third St, WANGARY, 5607",Lake Wangary Primary School,,-34.5501,135.479,SA
Assisted wheelchair access,Warramboo,"Barns St, WARRAMBOO, 5650",Warramboo Hall,,-33.241824,135.597439,SA
Assisted wheelchair access,Wirrulla,"Chapman Tce, WIRRULLA, 5661",Wirrula Memorial Hall,,-32.405214,134.534209,SA
Assisted wheelchair access,Port Lincoln,"Lincoln Pl, PORT LINCOLN, 5606",Port Lincoln Primary School,,-34.724067,135.856969,SA
Assisted wheelchair access,Seaford,"52 Schooner Rd, SEAFORD, 5169",Moana Primary School,Gymnasium,-35.19206,138.47449,SA
Assisted wheelchair access,Seaford Rise,"Grand Blvd, SEAFORD RISE, 5169",Seaford Rise Primary School,via Barbados Dr,-35.20019,138.48743,SA
Full wheelchair access,Birdwood,"46 Shannon St, BIRDWOOD, 5234",Birdwood Primary School,via Pflaum St,-34.81977,138.9589,SA
Full wheelchair access,Brukunga,"Pyrites Rd, BRUKUNGA, 5252",Brukunga Community Association,,-35.002414,138.942102,SA
Assisted wheelchair access,Callington,"Callington Rd, CALLINGTON, 5254",Callington Memorial Hall,,-35.113538,139.039367,SA
Full wheelchair access,Charleston,"Newman Rd, CHARLESTON, 5244",Charleston Memorial Hall,,-34.916055,138.902162,SA
Full wheelchair access,Gumeracha,"45 Albert St, GUMERACHA, 5233",Gumeracha Town Hall,,-34.822272,138.886181,SA
Assisted wheelchair access,Harrogate,"13 Mail Rd, HARROGATE, 5244",Harrogate Soldiers Memorial Hall,,-34.950178,139.011006,SA
Full wheelchair access,Lenswood,"1554 Lobethal Rd, LENSWOOD, 5240",Lenswood Primary School,,-34.921722,138.82437,SA
Full wheelchair access,Littlehampton,"16-30 Baker St, LITTLEHAMPTON, 5250",Littlehampton Primary School,,-35.049488,138.867323,SA
Full wheelchair access,Lobethal,"36 Main St, LOBETHAL, 5241",Onkaparinga Senior Citizens Hall,,-34.905265,138.874953,SA
Full wheelchair access,Mount Barker,"2 Wellington Rd, MOUNT BARKER, 5251",Mount Barker High School,,-35.075401,138.857119,SA
Full wheelchair access,Mount Barker Central,"Dumas St, MOUNT BARKER, 5251",TAFE SA Mount Barker Campus,,-35.069299,138.854343,SA
Assisted wheelchair access,Mount Torrens,"34 Townsend St, MOUNT TORRENS, 5244",Mount Torrens Soldiers Memorial Hall,,-34.872049,138.959469,SA
Full wheelchair access,Nairne,"5 Saleyard Rd, NAIRNE, 5252",Nairne Primary School,,-35.0385,138.903,SA
Full wheelchair access,Oakbank,"154 Onkaparinga Valley Rd, OAKBANK, 5243",Oakbank Area School,,-34.988768,138.835737,SA
Assisted wheelchair access,Woodside,"23 Moffett St, WOODSIDE, 5244",Woodside Primary School,via William St,-34.9527,138.879,SA
Assisted wheelchair access,Alford,"High St, ALFORD, 5555",Alford Hall,,-33.815808,137.821715,SA
Assisted wheelchair access,Auburn,"Main North Rd, AUBURN, 5451",Auburn RSL Hall,,-34.027802,138.685604,SA
Assisted wheelchair access,Birkenhead,"Shorney St, BIRKENHEAD, 5015",Le Fevre Peninsula Primary School,,-34.8404,138.495,SA
Full wheelchair access,Ethelton,"1 Causeway Rd, ETHELTON, 5015",Portlife Church,,-34.85085,138.49516,SA
Full wheelchair access,Largs Bay,"215 Fletcher Rd, LARGS BAY, 5016",Largs Bay Primary School,via Lincoln St or Centre St gates,-34.82346,138.49448,SA
Assisted wheelchair access,Largs Bay Central,"31 Jetty Rd, LARGS BAY, 5016",St Albans Anglican Church,,-34.826,138.489,SA
Full wheelchair access,Seaton,"67-91 Glenburnie St, SEATON, 5023",Seaton High School,,-34.88529,138.50648,SA
No wheelchair access,Semaphore,"66 Semaphore Rd, SEMAPHORE, 5019",Masonic Hall,,-34.839379,138.484795,SA
Assisted wheelchair access,Semaphore Park,"22 Bray Ave, SEMAPHORE PARK, 5019",Baptist Church Semaphore Park,,-34.8524,138.486,SA
Full wheelchair access,Semaphore Park South,"53 West St, SEMAPHORE PARK, 5019",Westport Primary School,,-34.8549,138.491,SA
Full wheelchair access,Semaphore South,"90 Hart St, SEMAPHORE SOUTH, 5019",Le Fevre High School,,-34.84544,138.48565,SA
Full wheelchair access,West Lakes Shore,"Edwin St, WEST LAKES SHORE, 5020",West Lakes Shore School,,-34.8637,138.482,SA
Full wheelchair access,Angle Vale,"Heaslip Rd, ANGLE VALE, 5117",Angle Vale Primary School,,-34.64345,138.64697,SA
Full wheelchair access,Evanston Gardens,"71 Angle Vale Rd, EVANSTON GARDENS, 5116",Evanston Gardens Primary School,,-34.624525,138.719094,SA
Assisted wheelchair access,Gawler,"Cnr Union St & Lyndoch Rd, GAWLER EAST, 5118",Gawler Freemasons Centre,,-34.596429,138.750528,SA
Full wheelchair access,Gawler East,"Finch Rd, GAWLER EAST, 5118",Gawler East Primary School,via School Rd or Parnell St,-34.597911,138.762024,SA
Assisted wheelchair access,Balaklava,"Gwy Tce, BALAKLAVA, 5461",Balaklava High School,,-34.151573,138.416933,SA
Full wheelchair access,Hewett,"Lot 6 Kingfisher Dr, HEWETT, 5118",Hewett Primary School,,-34.575625,138.749627,SA
Full wheelchair access,Highbury,"1000 Lower North East Rd, HIGHBURY, 5089",Turramurra Recreation Centre,,-34.853,138.701,SA
Full wheelchair access,Hillbank,"Penarth Ct, HILLBANK, 5112",Hillbank Community Children's Centre,,-34.731614,138.684422,SA
Full wheelchair access,Hope Valley East,"1 Payne St, HOPE VALLEY, 5090",Highbury Primary School,,-34.8481,138.70963,SA
Full wheelchair access,Kilkenny,"27A Wilpena Tce, KILKENNY, 5009",Kilkenny Community Hall,,-34.883864,138.550635,SA
Full wheelchair access,Gawler South,"Cnr Seventh & Second Sts, GAWLER SOUTH, 5118",Immanuel Lutheran Church Gawler,,-34.606696,138.747792,SA
Assisted wheelchair access,Gawler West,"School Rd, GAWLER, 5118",Gawler Primary School,,-34.597436,138.740849,SA
Full wheelchair access,Hewett,"Lot 6 Kingfisher Dr, HEWETT, 5118",Hewett Primary School,,-34.577631,138.750535,SA
Assisted wheelchair access,Roseworthy,"Cnr Elizabeth St & Wright St, ROSEWORTHY, 5371",Roseworthy Soldiers Memorial Hall,,-34.533327,138.748619,SA
Assisted wheelchair access,Wasleys,"Annie Tce, WASLEYS, 5400",Wasleys Community Hall,,-34.470435,138.683664,SA
Full wheelchair access,Craigmore South,"1 Gooronga Dr, CRAIGMORE, 5114",Craigmore South Primary School,,-34.708847,138.70646,SA
Full wheelchair access,Elizabeth East,"15 Dolphin St, ELIZABETH EAST, 5112",Elizabeth East Primary School,,-34.725145,138.678405,SA
Assisted wheelchair access,Elizabeth Grove,"20 Haynes St, ELIZABETH GROVE, 5112",Elizabeth Grove Primary School,,-34.7327,138.67,SA
Full wheelchair access,Elizabeth North,"141 Woodford Rd, ELIZABETH NORTH, 5113",Elizabeth North Primary School,,-34.70362,138.6746,SA
Full wheelchair access,Elizabeth Park,"15 Turner Rd, ELIZABETH PARK, 5113",Elizabeth Park Primary School,,-34.713,138.685,SA
Full wheelchair access,Elizabeth South,"Chivell St, ELIZABETH SOUTH, 5112",Elizabeth South Primary School,,-34.731299,138.662059,SA
Assisted wheelchair access,Elizabeth Vale,"13-19 Rollison Rd, ELIZABETH VALE, 5112",Elizabeth Vale Primary School,via Clarke St,-34.7463,138.669,SA
Full wheelchair access,Golden Grove,"Cnr One Tree Hill & Crouch Rds, GOLDEN GROVE, 5125",Uniting Church,,-34.7747,138.731,SA
Full wheelchair access,Greenwith West,"1681 Golden Grove Rd, GREENWITH, 5125",Salvation Army,,-34.768078,138.708679,SA
Full wheelchair access,Hillbank,"Penarth Ct, HILLBANK, 5112",Hillbank Community Children's Centre,,-34.731614,138.684422,SA
Full wheelchair access,Salisbury Heights,"9 Ward St, SALISBURY HEIGHTS, 5109",Salisbury Heights Primary School,,-34.7589,138.677,SA
Full wheelchair access,Risdon Park,"390 The Terrace, RISDON PARK, 5540",Lighthouse Uniting Church,,-33.198045,138.003605,SA
No wheelchair access,Tranmere,"17 Moore St, TRANMERE, 5073",Brookside Cellars Hall,,-34.906874,138.662665,SA
Assisted wheelchair access,Kurralta Park,"Cnr Daly St & Cross Tce, KURRALTA PARK, 5037",Hayhurst Guide Hall,via Cross Tce,-34.95114,138.56374,SA
Assisted wheelchair access,Tanunda,"Research Rd, TANUNDA, 5352",Tanunda Primary School,,-34.5181,138.98,SA
Full wheelchair access,Walker Flat,"142 Mallee Rd, WALKER FLAT, 5238",Walker Flat Community Hall,,-34.761449,139.567811,SA
Assisted wheelchair access,Williamstown,"15 Margaret St, WILLIAMSTOWN, 5351",Williamstown Primary School,via Queen St,-34.668,138.89,SA
Assisted wheelchair access,Blanchetown,"3 Shaw St, BLANCHETOWN, 5357",Blanchetown District Hall,,-34.352048,139.614699,SA
Assisted wheelchair access,Booborowie,"Cnr North Tce & Fourth St, BOOBOROWIE, 5417",Booborowie Town Hall,,-33.559554,138.758074,SA
Assisted wheelchair access,Booleroo Centre,"30 Stephens St, BOOLEROO CENTRE, 5482",Booleroo Centre District Hall,,-32.881545,138.350764,SA
Full wheelchair access,Burra,"7 Bridge Tce, BURRA, 5417",Burra Community School Gymnasium,via Smelts Rd,-33.68079,138.937433,SA
Assisted wheelchair access,Cadell,"McGuire Tce, CADELL, 5321",Cadell Institute,,-34.039468,139.764381,SA
Assisted wheelchair access,Eudunda,"2 Railway Pde, EUDUNDA, 5374",Eudunda RSL,,-34.173447,139.084921,SA
Assisted wheelchair access,Farrell Flat,"1 Patterson St, FARRELL FLAT, 5416",Farrell Flat Memorial Hall,,-33.829185,138.796157,SA
Assisted wheelchair access,Hallett,"Alfred St, HALLETT, 5419",Hallett Institute Hall,,-33.410992,138.892676,SA
Assisted wheelchair access,Jamestown,"Ayr St, JAMESTOWN, 5491",Jamestown Memorial Hall,,-33.205711,138.603917,SA
Assisted wheelchair access,Kapunda,"Mildred St, KAPUNDA, 5373",Kapunda Primary School,Gymnasium off Jeffs St,-34.3377,138.918,SA
Full wheelchair access,Leigh Creek,"Cnr Black Oak Dr & Moonah St, LEIGH CREEK, 5731",Leigh Creek Area School,,-30.592712,138.400942,SA
Assisted wheelchair access,Melrose,"29 Stuart St, MELROSE, 5483",Melrose Primary School,,-32.824,138.188,SA
Assisted wheelchair access,Morgan,"North East Tce, MORGAN, 5320",Morgan Sporting Complex,,-34.033436,139.669053,SA
Assisted wheelchair access,Orroroo,"17 Second St, ORROROO, 5431",Orroroo Town Hall,,-32.733725,138.613198,SA
Assisted wheelchair access,Peterborough,"108 Main St, PETERBOROUGH, 5422",Peterborough Town Hall,,-32.9735,138.838,SA
Assisted wheelchair access,Point Pass,"15 Main St, POINT PASS, 5374",Point Pass District Hall,,-34.075486,139.05111,SA
Assisted wheelchair access,Port Augusta,"75A Commercial Rd, PORT AUGUSTA, 5700",Commercial Premises,,-32.493173,137.763183,SA
Full wheelchair access,Wudinna,"Naylor Tce, WUDINNA, 5652",Wudinna Senior Citizen Hall,,-33.048123,135.466713,SA
Assisted wheelchair access,Gilles Plains,"2-12 Cowra Ave, GILLES PLAINS, 5086",Wandana Primary School,Gymnasium,-34.8494,138.662,SA
Full wheelchair access,Hope Valley West,"50 Reservoir Rd, HOPE VALLEY, 5090",John XXIII Catholic Community Centre,,-34.8398,138.688,SA
Assisted wheelchair access,Modbury North East,"2-18 Golden Grove Rd, MODBURY NORTH, 5092",Modbury Primary School,via Iliad Gr,-34.826145,138.693056,SA
Full wheelchair access,Modbury Heights,"21-51 Brunel Dr, MODBURY HEIGHTS, 5092",The Heights School,,-34.8111,138.682,SA
Assisted wheelchair access,Modbury North,"12 Burragah Ct, MODBURY NORTH, 5092",Modbury North Kindergarten,,-34.8246,138.673,SA
Full wheelchair access,Hope Valley,"8 Dampier Ave, HOPE VALLEY, 5090",Modbury South Primary School,,-34.840391,138.69694,SA
Assisted wheelchair access,Modbury,"450-474 Wright Rd, MODBURY, 5092",Modbury West Primary School,,-34.833554,138.677757,SA
Assisted wheelchair access,Blyth,"August St, BLYTH, 5462",Blyth Primary School,,-33.844465,138.49094,SA
No wheelchair access,Brinkworth,"Main St, BRINKWORTH, 5464",Brinkworth Primary School,,-33.688291,138.404468,SA
Full wheelchair access,Aldgate,"3 Fairview Rd, ALDGATE, 5154",Aldgate Primary School,via Strathalbyn Rd,-35.0191,138.75,SA
Full wheelchair access,Port Noarlunga,"22 Gawler St, PORT NOARLUNGA, 5167",The Arts Centre,,-35.148968,138.472354,SA
No wheelchair access,Lake Windemere,"17 Uraidla Ave, SALISBURY NORTH, 5108",Lake Windemere B-7 School,,-34.739637,138.619781,SA
Assisted wheelchair access,Lockleys North,"55 Malurus Ave, LOCKLEYS, 5032",Lockleys North Primary School,,-34.91979,138.53797,SA
Full wheelchair access,Magill,"11 Adelaide St, MAGILL, 5072",Magill Primary School,via Magill Rd,-34.9141,138.678,SA
Assisted wheelchair access,Magill South,"505 The Parade, MAGILL, 5072",Norwood Morialta High School,Senior Campus Canteen,-34.9188,138.672,SA
Full wheelchair access,Marion,"2-22 Malcolm Ave, MARION, 5043",Marion Primary School,via Oakleigh Rd,-35.0042,138.556,SA
Assisted wheelchair access,Melrose Park,"125 Edward St, MELROSE PARK, 5039",Edwardstown Primary School,via Maria St,-34.978459,138.579122,SA
Assisted wheelchair access,Modbury,"450-474 Wright Rd, MODBURY, 5092",Modbury West Primary School,,-34.833554,138.677757,SA
Full wheelchair access,Modbury Heights,"21-51 Brunel Dr, MODBURY HEIGHTS, 5092",The Heights School,,-34.8111,138.682,SA
Full wheelchair access,Bute,"Main St, BUTE, 5560",Bute Hall,,-33.865238,138.006505,SA
Full wheelchair access,Clare,"59 Main North Rd, CLARE, 5453",Vineyard Lutheran School,,-33.848568,138.619585,SA
Full wheelchair access,Crystal Brook,"7 Mitchell St, CRYSTAL BROOK, 5523",Crystal Brook Primary School,,-33.352862,138.212829,SA
Assisted wheelchair access,Georgetown,"Pitt St, GEORGETOWN, 5472",Georgetown Memorial Hall,,-33.362999,138.386116,SA
Assisted wheelchair access,Gladstone,"Cnr Cross St and Fifth St, GLADSTONE, 5473",Gladstone Memorial Town Hall,via Cross St,-33.266,138.351,SA
Assisted wheelchair access,Laura,"Cnr Hughes St and West Tce, LAURA, 5480",Laura Memorial Civic Centre,via Hughes St,-33.185747,138.299299,SA
Assisted wheelchair access,Lochiel,"Cnr Robert & Frances Sts, LOCHIEL, 5510",Lochiel Hall,,-33.9273,138.161434,SA
Assisted wheelchair access,Manoora,"3 Weymouth St, MANOORA, 5414",Manoora Primary School,,-34.006573,138.814504,SA
Assisted wheelchair access,Marrabel,"Main Rd, MARRABEL, 5413",Marrabel District Hall,,-34.144913,138.877706,SA
Assisted wheelchair access,Napperby,"Oaks Rd, NAPPERBY, 5540",Napperby Primary School,,-33.15288,138.11361,SA
Full wheelchair access,Port Broughton,"McKay St, PORT BROUGHTON, 5522",Port Broughton Community Hall,,-33.6,137.930884,SA
Full wheelchair access,Port Pirie,"35 Mary Elie St, PORT PIRIE, 5540",TAFE SA Port Pirie Campus,,-33.1838,138.006,SA
Full wheelchair access,Port Pirie South,"28 Kingston Rd, PORT PIRIE, 5540",Risdon Park Primary School,,-33.2033,138.008,SA
Assisted wheelchair access,Redhill,"6 Moorhouse St, REDHILL, 5521",Redhill Community Centre,,-33.5393,138.223,SA
Assisted wheelchair access,Risdon Park South,"44 Hannan St, RISDON PARK SOUTH, 5540",Baptist Church Hall,,-33.206969,137.992479,SA
Full wheelchair access,Riverton,"21 Swinden St, RIVERTON, 5412",Riverton Primary School,,-34.1573,138.745,SA
No wheelchair access,Saddleworth,"7 Saddle Rd, SADDLEWORTH, 5413",Saddleworth Primary School,,-34.0816,138.784,SA
Full wheelchair access,Snowtown,"22 Railway Tce, SNOWTOWN, 5520",Snowtown Memorial Hall,,-33.781168,138.215051,SA
Full wheelchair access,Solomontown,"79 Three Chain Rd, SOLOMONTOWN, 5540",Solomontown Primary School,,-33.189663,138.019216,SA
Assisted wheelchair access,Seaford East,"621 Grand Blvd, SEAFORD, 5169",All Saints Catholic Primary School,,-35.185625,138.48051,SA
Assisted wheelchair access,Tarlee,"38-42 Craig St, TARLEE, 5411",Tarlee Primary School,,-34.269968,138.772417,SA
Assisted wheelchair access,Watervale,"27 Main North Rd, WATERVALE, 5452",Watervale Primary School,via Commercial Rd,-33.9605,138.645,SA
Assisted wheelchair access,Yacka,"Cnr Charles & Hawker Sts, YACKA, 5470",Yacka Hall,,-33.570651,138.444701,SA
Assisted wheelchair access,Andamooka,"School Rd, ANDAMOOKA, 5722",Andamooka Primary School,,-30.448802,137.16725,SA
Assisted wheelchair access,Coober Pedy,"Cnr Post Office Hill Rd & Hutchison St, COOBER PEDY, 5723",TAFE SA Coober Pedy Campus,,-29.0117,134.754,SA
Assisted wheelchair access,Hawker,"Elder Tce, HAWKER, 5434",Hawker Institute Hall,,-31.890976,138.427815,SA
Assisted wheelchair access,Iron Knob,"Dickenson St, IRON KNOB, 5601",Iron Knob Rural Transaction Centre,,-32.7318,137.15,SA
Full wheelchair access,Kimba,"9 Cross St, KIMBA, 5641",Kimba District Council,,-33.138662,136.418581,SA
Assisted wheelchair access,Quorn,"Railway Tce, QUORN, 5433",Quorn Town Hall,,-32.348064,138.036714,SA
Full wheelchair access,Roxby Downs,"Cnr Burgoyne St & Tutop St, ROXBY DOWNS, 5725",Roxby Downs Christian Community Church,,-30.564309,136.896641,SA
Full wheelchair access,Whyalla Central East,"3-9 Walls St, WHYALLA, 5600",Whyalla Town Primary School,,-33.0361,137.585,SA
Full wheelchair access,Whyalla Central West,"Cnr Bradford & Lockhart Sts, WHYALLA, 5600",Memorial Oval Primary School,,-33.034,137.568,SA
Full wheelchair access,Whyalla Norrie East,"Cnr Nicolson & Norrie Ave, WHYALLA NORRIE, 5608",Nicolson Ave Primary School,via carpark on Norrie Ave,-33.02905,137.550636,SA
Full wheelchair access,Whyalla Norrie North,"Cnr Hincks & Schulze Ave, WHYALLA NORRIE, 5608",Hincks Ave Primary School,via Schulz Ave,-33.0192,137.545,SA
Full wheelchair access,Whyalla Norrie North-West,"Pattinson Cl, WHYALLA NORRIE, 5608",Fisk St Primary School,,-33.0167,137.533,SA
Full wheelchair access,Whyalla Norrie South,"Cnr Eyre Ave & Long St, WHYALLA NORRIE, 5608",Long St Primary School,,-33.0391,137.532,SA
Full wheelchair access,Whyalla Stuart West,"Cnr Bastyan Cres & Bailey St, WHYALLA STUART, 5608",Stuart High School,,-33.016283,137.517482,SA
Assisted wheelchair access,Woomera,"Bundilla Cres, WOOMERA, 5720",Woomera Community Centre,,-31.19874,136.827052,SA
Full wheelchair access,Ardrossan,"14 Second St, ARDROSSAN, 5571",Ardrossan Area School,,-34.423748,137.91308,SA
Full wheelchair access,Arthurton,"14 Main St, ARTHURTON, 5572",Arthurton Town Hall,,-34.25948,137.75665,SA
Full wheelchair access,Coobowie,"Gilbert St, COOBOWIE, 5583",Coobowie Community Hall,,-35.0436,137.730627,SA
Full wheelchair access,Corny Point,"2 Liddiards Rd, CORNY POINT, 5575",Corny Point Memorial Hall,,-34.9264,137.083,SA
Assisted wheelchair access,Curramulka,"1 Sixth St, CURRAMULKA, 5580",Curramulka Primary School,,-34.696328,137.712996,SA
