di_name,pplace,disabled_code,AccessDetails,suburb,Address,FormatAddress,SortId,Longitude,Latitude
Kaurna,Port Noarlunga,F,wheelchair parking via Ralphs Ave,PORT NOARLUNGA,Port Noarlunga Primary School ,"53 Anderson Ave, PORT NOARLUNGA",,138.4734998,-35.14476898
Kaurna,Port Noarlunga South,F,,PORT NOARLUNGA SOUTH,South Port Primary School,"39 Jane St, PORT NOARLUNGA SOUTH",,138.473068,-35.175854
Kaurna,Seaford,F,via Beechwood Gr,SEAFORD,Moana Primary School,"52 Schooner Rd, SEAFORD",,138.47449,-35.19206
Kaurna,Seaford East,F,,SEAFORD,All Saints Catholic Primary School,"621-631 Grand Blvd, SEAFORD",,138.48051,-35.185625
Kaurna,Seaford Rise,F,via Barbados Dr,SEAFORD RISE,Seaford Rise Primary School,"184-202 Grand Blvd, SEAFORD RISE",,138.48743,-35.20019
Kavel,Brukunga,A,,BRUKUNGA,Brukunga Hall,"12 Pyrites Rd, BRUKUNGA",,138.942102,-35.002414
Kavel,Charleston,A,,CHARLESTON,Charleston Memorial Hall,"1 Newman Rd, CHARLESTON",,138.902162,-34.916055
Kavel,Lenswood,F,,LENSWOOD,Lenswood Primary School Gym,"1554 Lobethal Rd, LENSWOOD",,138.82437,-34.921722
Kavel,Littlehampton,A,Wheelchair access via William St,LITTLEHAMPTON,Littlehampton Primary School Gym,"16-30 Baker St, LITTLEHAMPTON",,138.867323,-35.049488
Kavel,Lobethal,A,,LOBETHAL,Lobethal Primary School Gym,"1 School Rd, LOBETHAL",,138.8719715,-34.90139879
Kavel,Mount Barker,A,,MOUNT BARKER,Mount Barker High School Gym,"2 Wellington Rd, MOUNT BARKER",,138.857119,-35.075401
Kavel,Mount Barker Central,F,,MT BARKER,St Marks Lutheran School Library,"27 Hampden Rd, MT BARKER",,138.8608926,-35.07254512
Kavel,Mount Barker South,A,,MOUNT BARKER,Mount Barker South Primary School Gym,"33-45 Princes Rd, MOUNT BARKER",,138.859556,-35.080811
Kavel,Nairne,A,,NAIRNE,Nairne Primary School Gym,"5 Saleyard Rd, NAIRNE",,138.903,-35.0385
Kavel,Oakbank,A,,OAKBANK,Oakbank Area School Hall ,"154 Onkaparinga Valley Rd, OAKBANK",,138.835737,-34.988768
Kavel,Woodside,A,via William St,WOODSIDE,Woodside Primary School,"23 Moffett St, WOODSIDE",,138.879,-34.9527
King,Elizabeth East,F,,ELIZABETH EAST,Elizabeth East Primary School,"15 Dolphin St, ELIZABETH EAST",,138.678405,-34.725145
King,Elizabeth Vale,A,,ELIZABETH VALE,Elizabeth Vale School,"13-19 Rollison Rd, ELIZABETH VALE",,138.669,-34.7463
King,Golden Grove,F,,GOLDEN GROVE,Golden Grove Uniting Church,"75 One Tree Hill Rd, GOLDEN GROVE",,138.731,-34.7747
King,Golden Grove Central,A,,GOLDEN GROVE,Golden Grove High School,"1 Adey Pl, GOLDEN GROVE",,138.69623,-34.79381
King,Golden Grove East,F,,GOLDEN GROVE,Golden Grove Primary School,"140 Bicentennial Dr, GOLDEN GROVE",,138.70932,-34.78673
King,Greenwith,F,,GREENWITH,Greenwith Community Centre,"The Golden Way, GREENWITH",,138.708679,-34.768078
King,Greenwith West,A,,GREENWITH,Jesus Is Lord Church,"1681 Golden Grove Rd, GREENWITH",,138.708998,-34.767937
King,Hillbank,N,,HILLBANK,Hillbank Community Children's Centre,"10 Penarth Ct, HILLBANK",,138.684422,-34.731614
King,One Tree Hill,A,,ONE TREE HILL,One Tree Hill Institute,"1009 Blacktop Rd, ONE TREE HILL",,138.7654983,-34.71860765
King,Salisbury East North,A,via London Dr,SALISBURY EAST,Tyndale Christian School,"50 Fern Grove Blvd, SALISBURY EAST",,138.67,-34.774
King,Salisbury Heights,F,,SALISBURY HEIGHTS,Salisbury Heights Primary School,"9 Ward St, SALISBURY HEIGHTS",,138.677,-34.7589
King,Salisbury Park,A,,SALISBURY PARK,Salisbury Park Primary School,"66 Goddard Dr, SALISBURY PARK",,138.67,-34.7603
Lee,Albert Park,A,,ALBERT PARK,Good News Lutheran Church,"57-59 Botting St, ALBERT PARK",,138.52157,-34.87703
Lee,Grange,A,via Surrey St,GRANGE,"Grange Primary School, Lawson Hall","39c Jetty St, GRANGE",,138.49675,-34.9025
Lee,Royal Park,A,,ROYAL PARK,Western Strikers Soccer Club,"Kingston Ave, ROYAL PARK",,138.5062547,-34.87335832
Lee,Royal Park South,A,,ROYAL PARK,Hendon Primary School,"162 Cedar Ave, ROYAL PARK",,138.511127,-34.877997
Lee,Seaton,N,,SEATON,Seaton High School,"67-91 Glenburnie St, SEATON",,138.50648,-34.88529
Lee,Seaton Park,A,,SEATON,Seaton Park Primary School,"80 Balcombe Ave, SEATON",,138.519992,-34.895627
Lee,Seaton West,F,,SEATON,Christian Family Centre,"185 Frederick Rd, SEATON",,138.505721,-34.898056
Lee,Semaphore Park,N,,SEMAPHORE PARK,Bower Cottages,"200 Bower Rd, SEMAPHORE PARK",,138.4943365,-34.85209757
Lee,Semaphore Park South,F,,SEMAPHORE PARK,Westport Primary School,"53 West St, SEMAPHORE PARK",,138.491,-34.8549
Lee,West Lakes Shore,A,,WEST LAKES SHORE,West Lakes Shore School,"Edwin St, WEST LAKES SHORE",,138.482,-34.8637
Light,Angle Vale,A,,ANGLE VALE,Angle Vale Primary School,"Heaslip Rd, ANGLE VALE",,138.64697,-34.64345
Light,Evanston,A,,EVANSTON,Gawler & District College B-12,"Barnet Rd, EVANSTON",,138.738,-34.6198
Light,Evanston Gardens,A,,EVANSTON GARDENS,Evanston Gardens Memorial Hall,"65 Angle Vale Rd, EVANSTON GARDENS",,138.7192288,-34.62450325
Light,Evanston South,F,,EVANSTON SOUTH,Trinity College - Senior,"Alexander Ave, EVANSTON SOUTH",,138.7343204,-34.6328696
Light,Gawler,A,,GAWLER EAST,Gawler Council Administration Centre,"43 High St, GAWLER EAST",,138.7501168,-34.59727781
Light,Gawler East,A,,GAWLER EAST,Gawler East Primary School,"Finch Rd, GAWLER EAST",,138.762024,-34.597911
Light,Gawler South,A,,GAWLER SOUTH,Gawler Lutheran Church - Immanuel Worship Centre,"2 Second St, GAWLER SOUTH",,138.747792,-34.606696
Light,Gawler West,F,,GAWLER,Gawler Sport and Community Centre,"Nixon Tce, GAWLER",,138.7394994,-34.59811923
Light,Hewett,F,Gymnasium opposite Kestrel Rd,HEWETT,Hewett Primary School ,"Kingfisher Dr, HEWETT",,138.750535,-34.577631
Light,Munno Para,F,,MUNNO PARA,Mark Oliphant College,"99 Douglas Dr, MUNNO PARA",,138.685501,-34.66549
Light,Munno Para East,A,,MUNNO PARA,Munno Para Primary School,"81 Maltarra Rd, MUNNO PARA",,138.6995818,-34.6698313
Light,Willaston,A,via Holmes St,WILLASTON,Gawler Scout Hall,"Gawler River Rd, WILLASTON",,138.737,-34.5891
MacKillop,Beachport,A,,BEACHPORT,Beachport Recreation Centre,"Lot 15 Golf Course Rd, BEACHPORT",,140.01118,-37.475618
MacKillop,Bordertown,A,,BORDERTOWN,Bordertown High School Hall,"30 South Tce, BORDERTOWN",,140.7693,-36.31303
MacKillop,Coomandook,N,,COOMANDOOK,Coomandook Uniting Church,"3223 Dukes Hwy, COOMANDOOK",,139.701,-35.4722
MacKillop,Coonalpyn,A,,COONALPYN,Coonalpyn Community Hall,"53 Poyntz Tce, COONALPYN",,139.859061,-35.698121
MacKillop,Coonawarra,N,,COONAWARRA,Coonawarra Soldiers Memorial Community Club,"9-11 Memorial Dr, COONAWARRA",,140.8332342,-37.29125843
MacKillop,Frances,A,,FRANCES,Frances Primary School,"23 Barrett Rd, FRANCES",,140.958651,-36.712667
MacKillop,Furner,N,,FURNER,Furner Community Hall,"North Tce, FURNER",,140.338313,-37.406445
MacKillop,Glencoe,N,,GLENCOE,Glencoe Central Primary School,"135 Kirip Rd, GLENCOE",,140.595186,-37.670243
MacKillop,Kalangadoo,A,,KALANGADOO,Kalangadoo Primary School,"48a Kangaroo Flat Rd, KALANGADOO",,140.696,-37.565
MacKillop,Keith,A,,KEITH,Keith Area School,"Tolmer Tce, KEITH",,140.351861,-36.098617
MacKillop,Kingston,A,,KINGSTON SE,Kingston Community School Gym,"46 East Tce, KINGSTON SE",,139.856662,-36.836455
MacKillop,Lameroo,A,,LAMEROO,Lameroo Regional Community School Library,"1 Bews Tce, LAMEROO",,140.521764,-35.330302
MacKillop,Lucindale,A,,LUCINDALE,Lucindale Town Hall,"10 Centenary Ave, LUCINDALE",,140.369158,-36.971496
MacKillop,Meningie,A,,MENINGIE,Meningie Uniting Church,"2 Princes Hwy, MENINGIE",,139.3405,-35.6842
MacKillop,Millicent,A,,MILLICENT,Millicent Civic and Arts Centre,"14 Ridge Tce, MILLICENT",,140.349742,-37.59298
MacKillop,Millicent South,A,,MILLICENT,Newbery Park Primary School,"Bridges St, MILLICENT",,140.362,-37.6086
MacKillop,Mount Burr,N,,MOUNT BURR,Mount Burr Netball Club,"Lot 51 Riddoch Ave, MOUNT BURR",,140.457199,-37.539174
MacKillop,Mundulla,A,,MUNDULLA,Mundulla Primary School,"22 Kennedy St, MUNDULLA",,140.692619,-36.357932
MacKillop,Nangwarry,A,,NANGWARRY,Nangwarry Primary School,"Whitford Cres, NANGWARRY",,140.818034,-37.54216
MacKillop,Naracoorte,A,,NARACOORTE,Naracoorte Town Hall & Function Centre,"95 Smith St, NARACOORTE",,140.74244,-36.95565
MacKillop,Naracoorte South,A,,NARACOORTE,Naracoorte South Primary School gym,"71 Cedar Ave, NARACOORTE",,140.746032,-36.973231
MacKillop,Padthaway,A,,PADTHAWAY,Padthaway Primary School,"67 Vogelsang Rd, PADTHAWAY",,140.497,-36.593
MacKillop,Penola,A,,PENOLA,Penola Coonawarra Soldiers Memorial hall,"22 Young St, PENOLA",,140.835768,-37.37951407
MacKillop,Pinnaroo,A,,PINNAROO,Pinnaroo Primary School  Community Library,"Bundey Tce, PINNAROO",,140.907309,-35.256413
MacKillop,Rendelsham,A,,RENDELSHAM,Rendelsham Community Hall,"17-19 Nilsson St, RENDELSHAM",,140.226,-37.5508
MacKillop,Robe,A,,ROBE,Robe Primary School,"1 Union St, ROBE",,139.760508,-37.163526
MacKillop,Southend,N,via Watson St,SOUTHEND,Southend Community Centre,"Corner Eliza St and Watson St, SOUTHEND",,140.133652,-37.567775
MacKillop,Tailem Bend,A,via Library La,TAILEM BEND,Tailem Bend Primary School Gym,"1 Murray St, TAILEM BEND",,139.457647,-35.258672
MacKillop,Tantanoola,A,,TANTANOOLA,Tantanoola Memorial Hall,"24 Railway Tce W, TANTANOOLA",,140.4550783,-37.69753179
MacKillop,Tintinara,A,,TINTINARA,Tintinara War Memorial Hall,"49-51 Becker Tce, TINTINARA",,140.057898,-35.884896
MacKillop,Western Flat,A,,WESTERN FLAT,Western Flat Hall,"2600 Naracoorte Rd, WESTERN FLAT",,140.75,-36.523
MacKillop,Willalooka,A,,WILLALOOKA,Willalooka Hall,"3436 Riddoch Hwy, WILLALOOKA",,140.35032,-36.391618
MacKillop,Wolseley,A,,WOLSELEY,Wolseley Community Club,"Railway Tce N, WOLSELEY",,140.907105,-36.365227
Mawson,Aldinga Beach,A,,ALDINGA BEACH,Aldinga Beach R-7 School,"58 Quiniven Rd, ALDINGA BEACH",,138.462287,-35.268588
Mawson,Aldinga Beach West,F,,ALDINGA BEACH,Aldinga Community Centre,"7 Stewart Ave, ALDINGA BEACH",,138.455,-35.273
Mawson,American River,A,,AMERICAN RIVER,American River Community Hall,"32 Ryberg Rd, AMERICAN RIVER",,137.780578,-35.772867
Mawson,Cape Jervis,A,,CAPE JERVIS,Cape Jervis Community Recreation & Sporting Club,"17 Ransford St, CAPE JERVIS",,138.108,-35.6044
Mawson,Kingscote,A,,KINGSCOTE,Kangaroo Island Community Education (Kingscote Campus),"5 Centenary Ave, KINGSCOTE",,137.633,-35.6512
Mawson,Maslin Beach,A,,MASLIN BEACH,Maslin Beach Community Hall,"5 Parkway Dr, MASLIN BEACH",,138.478734,-35.224469
Mawson,McLaren Flat,A,,MCLAREN FLAT,McLaren Flat Soldiers Memorial Hall,"41 Main Rd, MCLAREN FLAT",,138.586837,-35.206549
Mawson,McLaren Vale,A,,MCLAREN VALE,McLaren Vale Primary School,"239-253 Caffrey St, MCLAREN VALE",,138.5306818,-35.2119088
Mawson,Myponga,A,,MYPONGA,Myponga Hall,"40 Main South Rd, MYPONGA",,138.463179,-35.391654
Mawson,Parawa,N,,PARAWA,Parawa Recreation Centre,"1541 Range Rd, PARAWA",,138.354682,-35.56163
Mawson,Parndana,A,,PARNDANA,Parndana Community Health Centre,"12 Jubilee Ave, PARNDANA",,137.260781,-35.788012
Mawson,Penneshaw,A,via Cape Willoughby Rd,PENNESHAW,Kangaroo Island Community Education (Penneshaw Campus),"47 Howard Dr, PENNESHAW",,137.931801,-35.720175
Mawson,Second Valley,A,,SECOND VALLEY,Second Valley Soldiers Memorial Hall,"140 Finniss Vale Dr, SECOND VALLEY",,138.227548,-35.527805
Mawson,Sellicks Beach,A,,SELLICKS BEACH,Sellicks Beach Community Hall,"18 Riviera Rd, SELLICKS BEACH",,138.455381,-35.324679
Mawson,Willunga,N,,WILLUNGA,Willunga Show Hall,"7 Main Rd, WILLUNGA",,138.55404,-35.27092
Mawson,Yankalilla,A,Jubilee Hall,YANKALILLA,Yankalilla Area School,"207 Main South Rd, YANKALILLA",,138.334,-35.4534
Morialta,Athelstone,A,,ATHELSTONE,Athelstone School,"8 Brookside Rd, ATHELSTONE",,138.699,-34.8678
Morialta,Athelstone South,F,,ATHELSTONE,Thorndon Park Primary School,"71 Stradbroke Rd, ATHELSTONE",,138.692006,-34.884361
Morialta,Highbury,F,,HIGHBURY,Turramurra Recreation Centre,"1000-1030 Lower North East Rd, HIGHBURY",,138.701,-34.853
Morialta,Highbury West,A,,HIGHBURY,Dernancourt Kindergarten,"10 Vernons Dr, HIGHBURY",,138.69317,-34.857335
Morialta,Hope Valley East,A,,HOPE VALLEY,Highbury Primary School,"1 Payne St, HOPE VALLEY",,138.70963,-34.8481
Morialta,Magill,F,Gymnasium via Magill Rd,MAGILL,Magill Primary School,"11 Adelaide St, MAGILL",,138.677606,-34.913054
Morialta,Newton,A,via Graves St,NEWTON,St Francis of Assisi School,"57 Newton Rd, NEWTON",,138.674578,-34.882453
Morialta,Rostrevor,F,,ROSTREVOR,Stradbroke Primary School,"73 Koonga Ave, ROSTREVOR",,138.6851,-34.89392
Morialta,Rostrevor South,A,,MAGILL,Magill Church of Christ,"61 St Bernards Rd, MAGILL",,138.6758429,-34.9056768
Morialta,St Agnes,F,,ST AGNES,St Agnes Primary School,"250 Smart Rd, ST AGNES",,138.71822,-34.831352
Morphett,Glenelg,F,cnr High & Chapel Sts,GLENELG,St Mary's Hall,"19 High St, GLENELG",,138.514908,-34.981499
Morphett,Glenelg East,A,,GLENELG EAST,St Paul's Lutheran Church,"48 -50 Brighton Rd, GLENELG EAST",,138.520372,-34.980827
Morphett,Glenelg East Central,A,,GLENELG EAST,Glenelg Primary School,"cnr Diagonal Rd & Brighton Rd, GLENELG EAST",,138.522,-34.9852
Morphett,Glenelg North,A,,GLENELG NORTH,St Leonard's Primary School,"5a Jervois St, GLENELG NORTH",,138.5197092,-34.97220679
Morphett,Glenelg South,A,,GLENELG SOUTH,St Martin's Anglican Church,"45 Hastings St, GLENELG SOUTH",,138.517,-34.9896
Morphett,Glengowrie,A,,GLENGOWRIE,Glengowrie Uniting Church,"31-33 Butler Cres, GLENGOWRIE",,138.52973,-34.98337
Morphett,Morphettville,A,,MORPHETTVILLE,Marion Leisure & Fitness Centre,"Oaklands Rd, MORPHETTVILLE",,138.545,-34.9953
Morphett,Novar Gardens,A,,NOVAR GARDENS,Immanuel Primary School,"24 Morphett Rd, NOVAR GARDENS",,138.537,-34.9727
Morphett,Park Holme,A,,PARK HOLME,Springpark Baptist Church,"80 Hendrie St, PARK HOLME",,138.547506,-34.989145
Morphett,Park Holme South,A,,PARK HOLME,Ascot Park Primary School,"1-37 Pildappa Ave, PARK HOLME",,138.556,-34.9905
Morphett,Plympton West,F,,PLYMPTON,Plympton International College,"21a Errington St, PLYMPTON",,138.54768,-34.96232
Morphett,Somerton Park,A,Masonic Village Hall,SOMERTON PARK,Somerton Park Seniors Living Community,"91 Diagonal Rd, SOMERTON PARK",,138.527,-34.994
Mount Gambier,Carpenter Rocks,A,,CARPENTER ROCKS,Carpenter Rocks Community Hall,"26-44 Carpenter Rocks Rd, CARPENTER ROCKS",,140.399,-37.9136
Mount Gambier,Compton,A,,SUTTONTOWN,Compton Soldiers Memorial Hall,"1 Compton Hall Rd, SUTTONTOWN",,140.729174,-37.80204828
Mount Gambier,Glenburnie,A,,GLENBURNIE,Glenburnie Primary School,"36 Kromelite Rd, GLENBURNIE",,140.862951,-37.840281
Mount Gambier,Kongorong,A,,KONGORONG,Kongorong Soldiers Memorial Hall,"2 Hay Tce, KONGORONG",,140.560849,-37.89905529
Mount Gambier,Moorak,A,,MOORAK,Moorak Primary School,"171 Yells Rd, MOORAK",,140.736738,-37.864439
Mount Gambier,Mount Gambier,F,,MOUNT GAMBIER,Anglican Parish of Mt Gambier,"26 Bay Rd, MOUNT GAMBIER",,140.778992,-37.831299
Mount Gambier,Mount Gambier East,A,,MOUNT GAMBIER,Melaleuca Park Primary School,"61 Boandik Tce, MOUNT GAMBIER",,140.794,-37.8402
Mount Gambier,Mount Gambier North,F,,MOUNT GAMBIER,Mount Gambier North Primary School Gym,"9 Heath St, MOUNT GAMBIER",,140.775843,-37.816935
Mount Gambier,Mount Gambier Park,A,,MOUNT GAMBIER,McDonald Park School ,"55-57 North Tce, MOUNT GAMBIER",,140.793552,-37.826238
Mount Gambier,Mount Gambier West,A,,MOUNT GAMBIER,Mount Gambier High School,"17 Brownes Rd, MOUNT GAMBIER",,140.765858,-37.825391
Mount Gambier,Port MacDonnell,A,,PORT MACDONNELL,Port MacDonnell Senior Citizens Club,"2 Elizabeth St, PORT MACDONNELL",,140.69955,-38.051395
Mount Gambier,Suttontown,A,,SUTTONTOWN,Suttontown Primary School,"127 Pinehall Ave, SUTTONTOWN",,140.769729,-37.79688
Mount Gambier,Tarpeena,N,,TARPEENA,Tarpeena Memorial Hall,"55 Riddoch Hwy, TARPEENA",,140.79642,-37.626675
Mount Gambier,Yahl,A,,YAHL,Yahl Hall,"29 Yahl Hall Rd, YAHL",,140.82732,-37.878871
Narungga,Alford,N,,ALFORD,Alford Institute Hall,"High St, ALFORD",,137.821715,-33.815808
Narungga,Ardrossan,A,,ARDROSSAN,Ardrossan Area School,"14 Second St, ARDROSSAN",,137.91308,-34.423748
Narungga,Arthurton,A,,ARTHURTON,Arthurton Town Hall,"14 Main St, ARTHURTON",,137.75665,-34.25948
Narungga,Balaklava,A,,BALAKLAVA,Balaklava High School,"14 Gwy Tce, BALAKLAVA",,138.416933,-34.151573
Narungga,Blyth,A,,BLYTH,Blyth Primary School,"August St, BLYTH",,138.49094,-33.844465
Narungga,Brinkworth,A,,BRINKWORTH,Brinkworth Primary School,"104 Main St, BRINKWORTH",,138.404468,-33.688291
Narungga,Bute,A,,BUTE,Bute Soldiers Memorial Hall,"14 High St, BUTE",,138.006505,-33.865238
Narungga,Coobowie,A,,COOBOWIE,Coobowie Community Hall,"1 Gilbert St, COOBOWIE",,137.730627,-35.0436
Narungga,Corny Point,A,,CORNY POINT,Corny Point Memorial Hall,"2 Liddiard Rd, CORNY POINT",,137.083,-34.9264
Narungga,Curramulka,A,,CURRAMULKA,Curramulka Primary School,"1 Sixth St, CURRAMULKA",,137.712996,-34.696328
Narungga,Edithburgh,A,,EDITHBURGH,Edithburgh Institute,"30 Blanche St, EDITHBURGH",,137.745677,-35.085975
Narungga,Hardwicke Bay,A,,HARDWICKE BAY,Hardwicke Bay Community Centre,"5 Progress Rd, HARDWICKE BAY",,137.460104,-34.892364
Narungga,Kadina,A,,KADINA,Kadina Copper Coast Sport & Leisure Centre,"1 Doswell Tce, KADINA",,137.709183,-33.961926
Narungga,Lochiel,A,,LOCHIEL,Lochiel Hall,"5-7 Frances St, LOCHIEL",,138.161434,-33.9273
Narungga,Maitland,A,Gymnasium,MAITLAND,Maitland Central Yorke School,"4-24 Junction Rd, MAITLAND",,137.673957,-34.368386
Narungga,Marion Bay,A,,MARION BAY,Marion Bay Community Hall,"10-20 Slow St, MARION BAY",,136.98082,-35.238024
Narungga,Minlaton,A,,MINLATON,Minlaton Town Hall,"57 Main St, MINLATON",,137.594783,-34.77267
Narungga,Moonta,F,,MOONTA,Moonta Area School Gym,"Blanche Tce, MOONTA",,137.591428,-34.070284
Narungga,Paskeville,A,,PASKEVILLE,Paskeville Community Centre,"70 Railway Tce S, PASKEVILLE",,137.902118,-34.038986
Narungga,Port Broughton,A,via South Tce,PORT BROUGHTON,Port Broughton Area School,"12 East Tce, PORT BROUGHTON",,137.9336164,-33.60330606
Narungga,Port Clinton,A,,PORT CLINTON,Port Clinton Community Hall,"32 Cumberland Rd, PORT CLINTON",,138.0187539,-34.22437324
Narungga,Port Victoria,A,,PORT VICTORIA,Port Victoria Institute,"16-18 Main St, PORT VICTORIA",,137.484558,-34.497447
Narungga,Port Vincent,A,,PORT VINCENT,Port Vincent Senior Citizens Club,"13 Main St, PORT VINCENT",,137.860242,-34.77864
Narungga,Port Wakefield,A,,PORT WAKEFIELD,Port Wakefield Soldiers Memorial Hall,"41 Edward St, PORT WAKEFIELD",,138.146279,-34.18507
Narungga,Redhill,N,,REDHILL,Redhill Community Centre,"6 Moorhouse St, REDHILL",,138.223,-33.5393
Narungga,Snowtown,A,,SNOWTOWN,Snowtown Soldiers Memorial Hall,"22-24 Railway Tce E, SNOWTOWN",,138.215051,-33.781168
Narungga,Stansbury,A,,STANSBURY,Stansbury Institute,"6 Weaver St, STANSBURY",,137.796993,-34.909114
Narungga,Wallaroo,F,The Lamshed,WALLAROO,Wallaroo Primary School,"12A Hughes St, WALLAROO",,137.624804,-33.932822
Narungga,Wallaroo Mines,A,,WALLAROO MINES,Wallaroo Mines Primary School,"Lipson Ave, WALLAROO MINES",,137.698678,-33.966337
Narungga,Warooka,A,,WAROOKA,Warooka Memorial Hall,"1-3 Player St, WAROOKA",,137.401988,-34.990853
Narungga,Yorketown,A,,YORKETOWN,Yorketown Area School,"Cnr Stansbury & School Rds, YORKETOWN",,137.615161,-35.01717
Newland,Banksia Park,A,,BANKSIA PARK,Banksia Park Primary R-7,"1-5 Cottenham Rd, BANKSIA PARK",,138.727,-34.8083
Newland,Fairview Park,A,via Pengaruh Dr,FAIRVIEW PARK,Fairview Park Primary School,"Nepondi Ct, FAIRVIEW PARK",,138.731349,-34.798176
Newland,Highbury,F,,HIGHBURY,Turramurra Recreation Centre,"1000-1030 Lower North East Rd, HIGHBURY",,138.701,-34.853
Newland,Hope Valley,F,,HOPE VALLEY,Modbury South Primary School,"8 Dampier Ave, HOPE VALLEY",,138.69694,-34.840391
Newland,Hope Valley East,A,,HOPE VALLEY,Highbury Primary School,"1 Payne St, HOPE VALLEY",,138.70963,-34.8481
Newland,Hope Valley West,A,,HOPE VALLEY,John XXIII Catholic Community Centre,"50 Reservoir Rd, HOPE VALLEY",,138.688,-34.8398
Newland,Modbury,F,,MODBURY,Modbury West School,"450-474 Wright Rd, MODBURY",,138.677757,-34.833554
