ec_id,name,premises,address,lat,lon,divisions,state,wheelchair_access
,Albany District - Election Day and Early Polling Place,,"Dog Rock Boulevarde, Shop 10, 302 Middleton Road, ALBANY WA 6330",-35.019321,117.884819,Albany,WA,Full
,Albany PCYC,,"77 Sanford Road, CENTENNIAL PARK WA 6330",-35.01046000,117.88208000,Albany,WA,Full
,Albany Primary School,,"32 Suffolk Street, MOUNT CLARENCE WA 6330",-35.01821000,117.89078000,Albany,WA,Full
,Albany Sea Rescue Hall,,"1 Swarbrick Street, EMU POINT WA 6330",-34.99427000,117.94353000,Albany,WA,None
,Albany Town Hall,,"Albany Town Hall, 217 York Street, ALBANY WA 6330",-35.023733,117.88336,Albany,WA,None
,Elleker Hall,,"19 Hassell Street, ELLEKER WA 6330",-35.00847000,117.72988000,Albany,WA,None
,Flinders Park Primary School,,"51 Yatana Road, BAYONET HEAD WA 6330",-34.97843000,117.93083000,Albany,WA,Full
,Great Southern Grammar,,"244 Nanarup Road, KALGAN WA 6330",-34.94764000,117.97064000,Albany,WA,Full
,Kendenup Agricultural Pavilion,,"150 Beverley Road, KENDENUP WA 6323",-34.49088300,117.59395100,Albany,WA,None
,King River Hall,,"1520 Millbrook Road, KING RIVER WA 6330",-34.93391000,117.89681000,Albany,WA,Full
,Little Grove Primary School,,"33 Gordon Street, LITTLE GROVE WA 6330",-35.06664500,117.86726700,Albany,WA,Full
,Mount Lockyer Primary School,,"43 Admiral Street, LOCKYER WA 6330",-35.00205000,117.85608000,Albany,WA,Full
,Napier Hall,,"2151 Chester Pass Road, NAPIER WA 6330",-34.83330000,117.96080000,Albany,WA,None
,Narrikup District Hall,,"Shire of Plantagenet, Beech Road, NARRIKUP WA 6326",-34.77251000,117.70245000,Albany,WA,None
,North Albany Senior High School,,"47 Anson Road, ORANA WA 6330",-34.99085000,117.86263000,Albany,WA,None
,Plantagenet District Hall,,"Memorial Road, MOUNT BARKER WA 6324",-34.62467000,117.66271000,Albany,WA,None
,Porongurup District Hall,,"2257 Porongurup Road, PORONGURUP WA 6324",-34.67380300,117.90638700,Albany,WA,None
,Redmond Hall,,"830 Redmond-Hay River Road, REDMOND WA 6327",-34.88647000,117.69151000,Albany,WA,None
,Spencer Park Primary School,,"26 Hardie Road, SPENCER PARK WA 6330",-35.00519000,117.90087000,Albany,WA,None
,Wellstead Community Resource Centre,,"49 Windsor Road, WELLSTEAD WA 6328",-34.49287119,118.605617,Albany,WA,None
,Yakamia Primary School,,"26 Beaufort Road, YAKAMIA WA 6330",-35.00250000,117.87299000,Albany,WA,Full
,Youngs Siding Hall,,"29 Station Street, YOUNGS SIDING WA 6330",-35.01241300,117.52228600,Albany,WA,None
,Armadale District - Election Day and Early Polling Place,,"2 & 3/36-40 Commerce Avenue, ARMADALE WA 6112",-32.1553734,116.0132768,Armadale,WA,Full
,Armadale Primary School,,"1 Carradine Road, BEDFORDALE WA 6112",-32.14763000,116.02618000,Darling Range,WA,None
,Armadale Senior High School,,"169 South Western Highway, ARMADALE WA 6112",-32.15842300,116.01359200,Armadale,WA,Full
,Cecil Andrews College,,"39 Seville Drive, SEVILLE GROVE WA 6112",-32.14080000,115.99240000,Armadale,WA,Full
,Challis Community Primary School,,"40 Braemore Street, ARMADALE WA 6112",-32.13903000,115.99975000,Armadale,WA,Full
,Clifton Hills Primary School,,"1 Butler Pass, KELMSCOTT WA 6111",-32.10903300,116.02152000,Armadale,WA,Full
,Dale Christian College,,"150 Forrest Road, ARMADALE WA 6112",-32.15932600,115.99873600,Oakford,WA,Full
,Free Reformed Church,,"84 Fifth Road, ARMADALE WA 6112",-32.14992000,116.00490000,Armadale,WA,Full
,Grovelands Primary School,,"14 Grovelands Drive, CAMILLO WA 6111",-32.11952000,115.99868000,Armadale,WA,None
,Kelmscott Primary School,,"River Road, KELMSCOTT WA 6111",-32.11959000,116.02049000,Armadale,WA,Full
,Kelmscott Senior High School,,"50 Third Avenue, KELMSCOTT WA 6111",-32.12035000,116.00989000,Armadale,WA,None
,Kingsley Primary School,,"11 Lathwell Street, ARMADALE WA 6112",-32.13432000,116.01545000,Armadale,WA,None
,Westfield Park Primary School,,"11 Hemingway Drive, CAMILLO WA 6111",-32.11032000,116.00533000,Armadale,WA,Full
,Balcatta District - Election Day and Early Polling Place,,"Osborne Park Agricultural Society Hall, 209 Main Street, OSBORNE PARK WA 6017",-31.897585,115.8280748,Balcatta,WA,None
,Balcatta Primary School,,"387 Main Street, BALCATTA WA 6021",-31.88110000,115.82798000,Balcatta,WA,None
,Balcatta Senior High School,,"56 Amelia Street, BALCATTA WA 6021",-31.87603000,115.81320000,Balcatta,WA,Full
,Osborne Park Community Centre,,"11 Royal Street, TUART HILL WA 6017",-31.89629000,115.82953000,Balcatta,WA,None
,Osborne Primary School,,"155 Albert Street, OSBORNE PARK WA 6017",-31.89978000,115.82533000,Balcatta,WA,Full
,St Denis School,,"2 Orchid Street, JOONDANA WA 6060",-31.90999000,115.84410000,Balcatta,WA,None
,Takari Primary School,,"5 Rickman Street, BALCATTA WA 6021",-31.86981000,115.82153000,Balcatta,WA,None
,Tuart Hill Primary School,,"134 Banksia Street, TUART HILL WA 6060",-31.90123800,115.84013100,Balcatta,WA,None
,Westminster Primary School,,"30 Marloo Road, WESTMINISTER WA 6061",-31.86963100,115.83815700,Balcatta,WA,Full
,Koorana Primary School,,"109 Coronata Drive, WARNBRO WA 6169",-32.34276200,115.76481400,Baldivis,WA,Full
,Makybe Rise Primary School,,"Makybe Drive, BALDIVIS WA 6171",-32.34505300,115.81763500,Baldivis,WA,None
,Rivergums Primary School,,"1 Avoca Chase, BALDIVIS WA 6171",-32.33600000,115.82991000,Baldivis,WA,None
,South Coast Baptist College,,"30 Gnangara Drive, WAIKIKI WA 6169",-32.31479000,115.75694000,Baldivis,WA,Full
,Tranby College,,"90 Arpenteur Drive, BALDIVIS WA 6171",-32.34053000,115.80156000,Baldivis,WA,None
,Tuart Rise Primary School,,"31 Kempeana Way, BALDIVIS WA 6171",-32.35404400,115.81414600,Baldivis,WA,Full
,Waikiki Primary School,,"12 Arnside Bend, WAIKIKI WA 6169",-32.31958600,115.76233300,Baldivis,WA,Full
,Warnbro Community High School,,"2 Swallowtail Parade, WARNBRO WA 6169",-32.34541600,115.75787500,Baldivis,WA,Full
,Warnbro Primary School,,"45 Axminster Street, WARNBRO WA 6169",-32.33507300,115.75462500,Baldivis,WA,None
,Anzac Terrace Primary School,,"176 Anzac Terrace, BASSENDEAN WA 6054",-31.89768000,115.93692000,Bassendean,WA,None
,Bassendean District - Election Day and Early Polling Place,,"Springs Shopping Centre, Shop 30, 130 Bridgeman Drive, BENNETT SPRINGS WA 6063",-31.858181,115.925087,Bassendean,WA,None
,Bassendean Primary School,,"70 West Road, BASSENDEAN WA 6054",-31.90770500,115.95384300,Bassendean,WA,None
,Beechboro Primary School,,"20 King Road, BEECHBORO WA 6063",-31.86847000,115.93609000,Bassendean,WA,Full
,Cyril Jackson Senior Campus,,"67 Reid Street, BASSENDEAN WA 6054",-31.91291000,115.94246500,Bassendean,WA,Full
,East Beechboro Primary School,,"Brockmill Avenue, BEECHBORO WA 6063",-31.87285000,115.95089800,Bassendean,WA,None
,Eden Hill Primary School,,"83 A Ivanhoe Street, EDEN HILL WA 6054",-31.89300400,115.94596000,Bassendean,WA,Full
,Hampton Senior High School,,"60 Morley Drive East, MORLEY WA 6062",-31.89010000,115.92653000,Bassendean,WA,Full
,Kiara College,,"368 Benara Road, KIARA WA 6054",-31.87597,115.93500,Bassendean,WA,None
,Lockridge Primary School,,"48 Rosher Road, LOCKRIDGE WA 6054",-31.88315000,115.95118000,Bassendean,WA,Full
,West Beechboro Primary School,,"30 Avignon Way , BEECHBORO WA 6063",-31.8696969989066,115.926787183512,Bassendean,WA,None
,Applecross Primary School,,"65 Kintail Road, APPLECROSS WA 6153",-32.01127000,115.83897000,Bateman,WA,Full
,Ardross Primary School,,"46 LINKS Road, ARDROSS WA 6153",-32.02740000,115.83382000,Bateman,WA,None
,Booragoon Primary School,,"10 Clements Road, BOORAGOON WA 6154",-32.03481000,115.82626000,Bateman,WA,None
,Brentwood Primary School,,"2 Dawson Road, BRENTWOOD WA 6153",-32.04172000,115.84764000,Bateman,WA,Full
,Corpus Christi College,,"50 Murdoch Drive, BATEMAN WA 6150",-32.05664000,115.84190000,Bateman,WA,Full
,Kardinya Primary School,,"OCHILTREE WAY, KARDINYA WA 6163",-32.06204800,115.82301800,Bateman,WA,None
,Mount Pleasant Primary School,,"29 Queens Road, MOUNT PLEASANT WA 6153",-32.02984200,115.84594600,Bateman,WA,None
,St Benedict's Primary School,,"70 Alness Street, ARDROSS WA 6153",-32.01863000,115.83894000,Bateman,WA,Full
,Winthrop Primary School,,"70-80 Jackson Avenue, WINTHROP WA 6150",-32.05488000,115.83353000,Bateman,WA,Full
,Belmay Primary School,,"410 Sydneham Street, CLOVERDALE WA 6105",-31.949498,115.947412,Belmont,WA,Full
,Belmont City College,,"106 Fisher Street, BELMONT WA 6104",-31.95806000,115.93413000,Belmont,WA,Full
,Belmont District - Election Day and Early Polling Place,,"Unit 4/10 Marchesi Street, KEWDALE WA 6105",-31.978275,115.9600312,Belmont,WA,None
,Belmont Park Tennis Club,,"351/353 Robinson Avenue, CLOVERDALE WA 6105",-31.97187000,115.94483000,Belmont,WA,None
,Belmont Primary School,,"213 Great Eastern Highway, BELMONT WA 6104",-31.94426000,115.92270000,Belmont,WA,Full
,Carlisle Primary School,,"1 Wright Street, KEWDALE WA 6105",-31.97346000,115.92221000,Belmont,WA,Full
,Hazelmere Hall,,"Bruce Elliott Reserve, Bushmead Road, HAZELMERE WA 6055",-31.90257200,115.99421800,Belmont,WA,Full
,Kewdale Primary School,,"264 Kew Street, KEWDALE WA 6105",-31.97528000,115.94398000,Belmont,WA,Full
,St Augustine's School,,"34 Gladstone Road, RIVERVALE WA 6103",-31.95988200,115.90647500,Belmont,WA,Full
,Bibra Lake District - Election Day and Early Polling Place,,"The Wetlands Centre, 184 Hope Road, BIBRA LAKE WA 6163",-32.086251,115.830801,Bibra Lake,WA,None
,Bibra Lake Primary School,,"29 Annois Road, BIBRA LAKE WA 6163",-32.09420000,115.83978000,Bibra Lake,WA,None
,Coolbellup Community School,,"15 Waverley Road, COOLBELLUP WA 6163",-32.08217000,115.80867000,Bibra Lake,WA,None
,East Hamilton Hill Primary School,,"27 Bradbury Road, HAMILTON HILL WA 6163",-32.07695000,115.78954000,Bibra Lake,WA,None
,Lakeland Senior High School,,"106 South Lake Drive, SOUTH LAKE WA 6164",-32.10794000,115.84617000,Bibra Lake,WA,Full
,Newton Primary School,,"4 Marvell Avenue, SPEARWOOD WA 6163",-32.11146000,115.78898000,Bibra Lake,WA,Full
,North Lake Senior Campus,,"188-200 Winterfold Road, KARDINYA WA 6163",-32.07395000,115.81405000,Bibra Lake,WA,None
,Phoenix Primary School,,"28 Phoenix Road, HAMILTON HILL WA 6163",-32.09247600,115.77892300,Fremantle,WA,None
,Samson Primary School,,"22 Lawrence Way, SAMSON WA 6163",-32.07271000,115.80273000,Bibra Lake,WA,Full
,South Lake Primary School,,"62 Mason Court, SOUTH LAKE WA 6164",-32.10552000,115.83457000,Bibra Lake,WA,Full
,Southwell Primary School,,"26 Grandpre Crescent, HAMILTON HILL WA 6163",-32.09019000,115.78447000,Bibra Lake,WA,None
,Spearwood Primary School,,"73 Gerald Street, SPEARWOOD WA 6163",-32.101155,115.787647,Bibra Lake,WA,None
,Attadale Primary School,,"Wichmann Road, ATTADALE WA 6156",-32.02521000,115.80181000,Bicton,WA,None
,Bicton Primary School,,"Cnr Foss Street and View Terrace, BICTON WA 6157",-32.03289000,115.78685300,Bicton,WA,None
,Caralee Community School,,"24 Winnacott Street, WILLAGEE WA 6156",-32.05156000,115.80500000,Bicton,WA,None
,Melville Primary School,,"70 Curtis Road, MELVILLE WA 6156",-32.03919000,115.80693000,Bicton,WA,Full
,Melville Recreation Centre,,"431 Canning Highway, MELVILLE WA 6156",-32.03439000,115.79504000,Bicton,WA,Full
,Melville Senior High School,,"18 Potts Street, MELVILLE WA 6156",-32.04600000,115.80444000,Bicton,WA,Full
,Palmyra Primary School,,"60 McKimmie Road, PALMYRA WA 6157",-32.04548000,115.78549000,Bicton,WA,None
,Richmond Primary School,,"37 Windsor Road, EAST FREMANTLE WA 6158",-32.03630000,115.77026000,Bicton,WA,None
,Southern Districts Senior Centre,,"Corner North Lake Road and Archibald Street , WILLAGEE WA 6156",-32.05357400,115.81493000,Bicton,WA,Full
,St Peter's Anglican Church Hall,,"2 Hammad Street, PALMYRA WA 6157",-32.03942000,115.77693000,Bicton,WA,None
,Adam Road Primary School,,"Hotchin Street, SOUTH BUNBURY WA 6230",-33.35792900,115.63401100,Bunbury,WA,Full
,Bunbury Catholic College,,"Rodsted Street, EAST BUNBURY WA 6230",-33.34337000,115.66183000,Bunbury,WA,Full
,Bunbury District - Election Day and Early Polling Place,,"Bunbury Homemaker Centre, Unit 2E/42 Strickland Street, BUNBURY WA 6230",-33.333607,115.64734,Bunbury,WA,Full
,Bunbury Primary School â€“ Kindergarten,,"2-18 Lovegrove Avenue, BUNBURY WA 6230",-33.33316100,115.63779800,Bunbury,WA,Full
,Carey Park Primary School,,"36 Ecclestone Street, CAREY PARK WA 6230",-33.34900000,115.65088000,Bunbury,WA,Full
,Cooinda Primary School,,"10 Allen Street, EAST BUNBURY WA 6230",-33.33466000,115.65233000,Bunbury,WA,Full
,Dalyellup Primary School,,"14 Hartog Road, DALYELLUP WA 6230",-33.40018500,115.62218200,Bunbury,WA,None
,Maidens Park Primary School,,"Westwood Street, WITHERS WA 6230",-33.36920000,115.62827000,Bunbury,WA,None
,Milligan Community Learning and Resource Centre,,"35 Milligan Street, CAREY PARK WA 6230",-33.35889100,115.65759600,Bunbury,WA,Full
,Picton Primary School,,"125 Jeffrey Road, GLEN IRIS WA 6230",-33.34016000,115.68816000,Bunbury,WA,Full
,South Bunbury Pre-Primary Centre,,"19 Prosser Street, SOUTH BUNBURY WA 6230",-33.34031000,115.64260000,Bunbury,WA,Full
,Tuart Forest Primary School,,"Crystal Bend, DALYELLUP WA 6230",-33.392132,115.634369,Bunbury,WA,Full
,Alkimos Beach Primary School,,"200 Leatherback Boulevard, ALKIMOS WA 6038",-31.62509809,115.6784839,Butler,WA,Full
,Butler College,,"15 McCormack Boulevard, BUTLER WA 6036",-31.65166400,115.70870100,Butler,WA,Full
,Butler Primary School,,"30 Tollesbury Avenue, BUTLER WA 6036",-31.64572100,115.70257600,Butler,WA,Full
,East Butler Primary School,,"7 Amersham Crescent, BUTLER WA 6036",-31.64460000,115.71171000,Butler,WA,Full
,Shorehaven Primary School,,"91 Shorehaven Boulevard, ALKIMOS WA 6038",-31.6018800079406,115.67471984809,Butler,WA,Full
,Two Rocks Primary School,,"51 Resolute Drive, TWO ROCKS WA 6037",-31.48878900,115.59182000,Butler,WA,Full
,Yanchep Beach Primary School,,"100 Lindsay Beach Boulevard, YANCHEP WA 6035",-31.544071,115.631774,Butler,WA,Full
,Yanchep Secondary College,,"21 Ravensbourne Street, YANCHEP WA 6035",-31.55252300,115.64342900,Butler,WA,Full
,Bannister Creek Primary School,,"92 Purley Crescent, LYNWOOD WA 6147",-32.03903000,115.92848000,Cannington,WA,Full
,Beckenham Community Church,,"3 Saturn Street, BECKENHAM WA 6107",-32.02597600,115.96231900,Cannington,WA,Full
,Brookman Primary School,,"34 Brookman Avenue, LANGFORD WA 6147",-32.03749000,115.93884000,Cannington,WA,Full
,East Kenwick Primary School,,"96 Kenwick Road, KENWICK WA 6107",-32.03230900,115.98032700,Cannington,WA,Full
,Fountain College,,"12 Karri Way, FERNDALE WA 6148",-32.03632000,115.92035000,Cannington,WA,Full
,Gibbs Street Primary School,,"79-93 Gibbs Street, EAST CANNINGTON WA 6107",-32.00825000,115.95317000,Cannington,WA,Full
,Lynwood Christian Church,,"32 Latham Road, FERNDALE WA 6148",-32.02899200,115.93011100,Cannington,WA,Full
,Sevenoaks Senior College,,"275 Sevenoaks Street, CANNINGTON WA 6107",-32.01194500,115.94241400,Cannington,WA,Full
,St Norbert College,,"135 Treasure Road, QUEENS PARK WA 6107",-32.00472600,115.93881200,Cannington,WA,Full
,Carine Senior High School,,"51 Everingham Street, CARINE WA 6020",-31.85266000,115.77662000,Carine,WA,Full
,Davallia Primary School,,"6 Juniper Way, DUNCRAIG WA 6023",-31.84117000,115.78725000,Carine,WA,Full
,Duncraig Primary School,,"21 Roche Road, DUNCRAIG WA 6023",-31.83227000,115.77091000,Carine,WA,Full
,Glengarry Primary School,,"25 Doveridge Drive, DUNCRAIG WA 6023",-31.82705700,115.78262400,Carine,WA,Full
,Lake Gwelup Primary School,,"59 Porter Street, GWELUP WA 6018",-31.87106400,115.79724500,Scarborough,WA,Full
,Marmion Primary School,,"7 Cliverton Court, MARMION WA 6020",-31.84405000,115.75865000,Carine,WA,Full
,North Beach Primary School,,"75 North Beach Road, NORTH BEACH WA 6020",-31.86028000,115.76108000,Scarborough,WA,Full
,Poynter Primary School,,"39 Poynter Drive, DUNCRAIG WA 6023",-31.84205000,115.77537000,Carine,WA,None
,Sacred Heart College,,"15 Hocking Parade, SORRENTO WA 6020",-31.82664000,115.74766000,Carine,WA,Full
,Sorrento Primary School,,"14 Elfreda Avenue, SORRENTO WA 6020",-31.83104000,115.76071000,Carine,WA,Full
,South Padbury Primary School,,"56 Warburton Avenue, PADBURY WA 6025",-31.81174000,115.76420000,Hillarys,WA,Full
,Bakers Hill Primary School,,"33 St George Street, BAKERS HILL WA 6562",-31.74772500,116.46233600,Central Wheatbelt,WA,Full
,Bencubbin Community Resource Centre,,"283 Monger Street, BENCUBBIN WA 6477",-30.80948900,117.85924400,Central Wheatbelt,WA,Full
,Beverley Community Resource Centre,,"141 Vincent Street, BEVERLEY WA 6304",-32.11000000,116.92472200,Central Wheatbelt,WA,Full
,Boddington District High School,,"25 Pollard Street, BODDINGTON WA 6390",-32.801258,116.467017,Central Wheatbelt,WA,Full
,Brookton District High School,,"20 Tiller Street, BROOKTON WA 6306",-32.37238000,117.00921000,Central Wheatbelt,WA,Full
,Bruce Rock Shire Hall,,"56 Johnson Street, BRUCE ROCK WA 6418",-31.873756,118.148770,Central Wheatbelt,WA,Full
,Calingiri Primary School,,"18 Cavell Street, CALINGIRI WA 6569",-31.09015400,116.44917700,Central Wheatbelt,WA,None
,Central Wheatbelt District - Election Day and Early Polling Place - Merredin,,"Merredin Community Resource Centre, 110 Barrack Street, MERREDIN WA 6415",-31.482102,118.28085,Central Wheatbelt,WA,None
,Central Wheatbelt District - Election Day and Early Polling Place - Northam,,"Northam Town Hall, 83 Wellington Street, NORTHAM WA 6401",-31.656031,116.67150607,Central Wheatbelt,WA,Full
,Corrigin Senior Citizens Centre,,"8 Lynch Street, CORRIGIN WA 6375",-32.33191100,117.87598400,Central Wheatbelt,WA,Full
,Cunderdin District High School,,"Cubbine Street, CUNDERDIN WA 6407",-31.65534000,117.24454000,Central Wheatbelt,WA,None
,Dowerin Lesser Hall,,"15 Cottrell Street, DOWERIN WA 6461",-31.19495700,117.03103500,Central Wheatbelt,WA,None
,Goomalling Primary School,,"65 Hoddy Street, GOOMALLING WA 6460",-31.305354,116.829881,Central Wheatbelt,WA,None
,Greenhills Hall,,"460 Greenhills Road, GREENHILLS WA 6302",-31.92070000,116.96393900,Central Wheatbelt,WA,None
,Kellerberrin Memorial Hall,,"110 Massingham Street, KELLERBERRIN WA 6410",-31.63363000,117.72171000,Central Wheatbelt,WA,Full
,Koorda Emergency Centre,,"21 Ninghan Road, KOORDA WA 6475",-30.82600000,117.48444000,Central Wheatbelt,WA,None
,Mukinbudin Shire Chambers,,"15 Maddock Street, MUKINBUDIN WA 6479",-30.91595000,118.20748000,Central Wheatbelt,WA,None
,Narembeen District High School,,"7 Ada Street, NAREMBEEN WA 6369",-32.06311000,118.39134000,Central Wheatbelt,WA,Full
,New Norcia Institute Study Hall,,"New Norcia Road, NEW NORCIA WA 6509",-30.96852000,116.21604000,Central Wheatbelt,WA,None
,Pingelly Recreation and Cultural Centre,,"4 Somerset Street, PINGELLY WA 6308",-32.52997800,117.09063500,Central Wheatbelt,WA,Full
,Quairading Town Hall,,"2 Jennaberring Road, QUAIRADING WA 6383",-32.00728000,117.39896000,Central Wheatbelt,WA,None
,Southern Cross Community Centre,,"25-27 Antares Street, SOUTHERN CROSS WA 6426",-31.23124300,119.32816900,Central Wheatbelt,WA,None
,Tammin Lesser Hall,,"1 Donnan Street, TAMMIN WA 6409",-31.64144200,117.48406200,Central Wheatbelt,WA,None
,Toodyay Memorial Hall,,"117 Stirling Terrace, TOODYAY WA 6566",-31.55024500,116.46683100,Central Wheatbelt,WA,None
,Trayning Primary School,,"30 Adam Street, TRAYNING WA 6488",-31.11426057,117.7905257,Central Wheatbelt,WA,None
,Wandering Primary School,,"2 Watts Street, WANDERING WA 6308",-32.67728700,116.67286800,Central Wheatbelt,WA,None
,Westonia Leisure Centre,,"Corner Gold and Diorite Streets, WESTONIA WA 6423",-31.300212,118.695728,Central Wheatbelt,WA,None
,Wongan Hills Community Resource Centre,,"1 Wongan Road, WONGAN HILLS WA 6603",-30.89305000,116.71624000,Central Wheatbelt,WA,Full
,Wundowie Primary School,,"216 Boronia Street, WUNDOWIE WA 6560",-31.761234,116.382921,Central Wheatbelt,WA,None
,Wyalkatchem Community Resource Centre,,"5700 Railway Terrace, WYALKATCHEM WA 6485",-31.17983000,117.37947000,Central Wheatbelt,WA,Full
,York District High School,,"2 Trews Road, YORK WA 6302",-31.89306500,116.75992500,Central Wheatbelt,WA,None
,Churchlands District - Election Day and Early Polling Place,,"A2/4 King Edward Road, OSBORNE PARK WA 6017",-31.903940,115.805521,Churchlands,WA,None
,Churchlands Primary School,,"Cromarty Road, FLOREAT WA 6014",-31.92682000,115.79479100,Churchlands,WA,Full
,Doubleview Primary School,,"273 Flamborough Street, DOUBLEVIEW WA 6018",-31.89749400,115.77727600,Scarborough,WA,None
,Floreat Park Primary School,,"38 Chandler Avenue West , FLOREAT WA 6014",-31.93674000,115.79141000,Churchlands,WA,Full
,Floreat Park Primary School Early Learning Centre,,"124 Birkdale Street, FLOREAT WA 6014",-31.93907100,115.80156700,Churchlands,WA,Full
